,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,updated_github_id
10,DifferentialEquations.jl,SciML/DifferentialEquations.jl,ml-frameworks,https://github.com/SciML/DifferentialEquations.jl,https://github.com/SciML/DifferentialEquations.jl,,2016-05-11 05:13:39,2021-04-21 06:51:15,2021-04-21 06:51:15,141.0,113.0,538.0,1740,1241.0,2020-12-26 01:20:39,6.16.0,,,49.0,Multi-language suite for high-performance solvers of differential equations and scientific machine learning (SciML)..,,,19.0,16,False,2,,
11,MLJ.jl,alan-turing-institute/MLJ.jl,ml-frameworks,https://github.com/alan-turing-institute/MLJ.jl,https://github.com/alan-turing-institute/MLJ.jl,,2018-08-01 06:29:39,2021-04-25 00:20:12,2021-04-23 22:30:33,111.0,80.0,378.0,1061,1915.0,2021-04-23 23:20:37,0.16.2,,,48.0,A Julia machine learning framework.,,,43.0,16,False,2,,
12,Zygote.jl,FluxML/Zygote.jl,ml-frameworks,https://github.com/FluxML/Zygote.jl,https://github.com/FluxML/Zygote.jl,,2018-08-06 22:08:26,2021-04-22 09:25:52,2021-04-22 08:39:12,134.0,288.0,253.0,963,1714.0,2021-04-22 09:25:53,0.6.10,,,58.0,Intimate Affection Auditor.,,,73.0,16,False,2,,
13,ModelingToolkit.jl,SciML/ModelingToolkit.jl,ml-frameworks,https://github.com/SciML/ModelingToolkit.jl,https://github.com/SciML/ModelingToolkit.jl,,2018-02-27 01:36:26,2021-04-25 18:19:40,2021-04-24 10:30:44,78.0,76.0,337.0,598,2243.0,2021-04-22 06:44:50,5.16.0,,,100.0,A modeling framework for automatically parallelized scientific machine learning (SciML) in Julia. A computer algebra..,,,54.0,16,False,2,,
14,Images.jl,JuliaImages/Images.jl,image,https://github.com/JuliaImages/Images.jl,https://github.com/JuliaImages/Images.jl,,2012-12-05 14:43:16,2021-04-25 09:19:49,2021-04-25 09:19:46,123.0,42.0,469.0,441,1473.0,2021-04-15 18:25:52,0.24.0,,,44.0,An image library for Julia.,,,85.0,16,False,1,,
15,OrdinaryDiffEq.jl,SciML/OrdinaryDiffEq.jl,ml-frameworks,https://github.com/SciML/OrdinaryDiffEq.jl,https://github.com/SciML/OrdinaryDiffEq.jl,,2016-10-22 16:27:51,2021-04-25 18:56:41,2021-04-22 19:31:19,100.0,214.0,303.0,205,4946.0,2021-04-17 11:50:36,5.52.4,,,100.0,"High performance differential equation solvers for ordinary differential equations, including neural ordinary..",,,71.0,16,False,2,,
16,Transformers.jl,chengchingwen/Transformers.jl,nlp,https://github.com/chengchingwen/Transformers.jl,https://github.com/chengchingwen/Transformers.jl,MIT,2018-12-27 06:24:53,2021-04-09 15:06:01,2021-04-08 21:55:51,27.0,4.0,16.0,187,479.0,2021-04-08 22:14:24,0.1.11,,,8.0,Julia Implementation of Transformer models.,,,8.0,16,True,1,,
17,DFTK.jl/,JuliaMolSim/DFTK.jl/,ml-frameworks,https://github.com/JuliaMolSim/DFTK.jl,https://github.com/JuliaMolSim/DFTK.jl,MIT,2019-04-16 17:15:53,2021-04-26 11:59:27,2021-04-21 11:44:39,25.0,47.0,74.0,153,799.0,2021-04-21 14:17:17,0.2.8,,,34.0,Density-functional toolkit.,,,,16,True,2,,
18,TensorFlow.jl,malmaud/TensorFlow.jl,ml-frameworks,https://github.com/malmaud/TensorFlow.jl,https://github.com/malmaud/TensorFlow.jl,,2015-11-17 18:50:55,2021-04-01 18:06:44,2020-12-11 20:13:12,101.0,70.0,173.0,825,1324.0,2019-03-27 18:18:07,0.12.0,,,27.0,A Julia wrapper for TensorFlow.,,,38.0,15,False,2,,
19,GLM.jl,JuliaStats/GLM.jl,probabilistics,https://github.com/JuliaStats/GLM.jl,https://github.com/JuliaStats/GLM.jl,,2012-05-30 03:30:46,2021-04-26 09:13:58,2021-04-05 18:48:12,88.0,59.0,155.0,369,428.0,2021-03-15 23:18:30,1.4.1,,,28.0,Generalized linear models in Julia.,,,39.0,15,False,1,,
20,NeuralPDE.jl,SciML/NeuralPDE.jl,ml-frameworks,https://github.com/SciML/NeuralPDE.jl,https://github.com/SciML/NeuralPDE.jl,,2017-03-14 20:53:14,2021-04-24 15:37:45,2021-04-20 11:55:51,71.0,44.0,67.0,312,987.0,2021-04-13 21:52:36,3.10.1,,,35.0,Physics-Informed Neural Networks (PINN) and Deep BSDE Solvers of Differential Equations for Scientific Machine..,,,25.0,15,False,2,,
21,Distances.jl,JuliaStats/Distances.jl,ml-frameworks,https://github.com/JuliaStats/Distances.jl,https://github.com/JuliaStats/Distances.jl,,2014-08-26 04:25:09,2021-04-06 19:49:21,2021-04-06 19:49:17,74.0,27.0,71.0,265,157.0,2021-01-29 15:58:31,0.10.2,,,19.0,A Julia package for evaluating distances (metrics) between vectors.,,,34.0,15,False,2,,
22,MixedModels.jl,JuliaStats/MixedModels.jl,ml-frameworks,https://github.com/JuliaStats/MixedModels.jl,https://github.com/JuliaStats/MixedModels.jl,MIT,2013-03-29 21:24:25,2021-04-18 12:37:46,2021-04-18 12:37:45,36.0,21.0,192.0,263,,2021-04-15 19:16:06,3.6.0,,,63.0,A Julia package for fitting (statistical) mixed-effects models.,,,23.0,15,True,2,,
23,AutoMLPipeline.jl,IBM/AutoMLPipeline.jl,ml-frameworks,https://github.com/IBM/AutoMLPipeline.jl,https://github.com/IBM/AutoMLPipeline.jl,MIT,2020-02-25 15:46:12,2021-04-21 23:23:09,2021-04-21 23:04:41,18.0,18.0,46.0,241,389.0,2021-04-21 23:23:10,0.3.4,,,27.0,A package that makes it trivial to create and evaluate machine learning pipeline architectures.,,,4.0,15,True,2,,
24,MultivariateStats.jl,JuliaStats/MultivariateStats.jl,probabilistics,https://github.com/JuliaStats/MultivariateStats.jl,https://github.com/JuliaStats/MultivariateStats.jl,,2014-03-12 21:59:49,2021-03-26 20:43:03,2021-03-13 04:59:15,56.0,27.0,51.0,225,154.0,2020-11-15 22:14:12,0.8.0,,,5.0,A Julia package for multivariate statistics and data analysis (e.g. dimension reduction).,,,26.0,15,False,1,,
25,GaussianProcesses.jl,STOR-i/GaussianProcesses.jl,probabilistics,https://github.com/STOR-i/GaussianProcesses.jl,https://github.com/STOR-i/GaussianProcesses.jl,,2015-04-30 14:46:12,2021-04-07 17:12:33,2021-04-07 17:12:33,40.0,18.0,92.0,218,1034.0,2020-11-30 00:50:47,0.12.3,,,6.0,A Julia package for Gaussian Processes.,,,25.0,15,False,1,,
26,GeometricFlux.jl,yuehhua/GeometricFlux.jl,ml-frameworks,https://github.com/FluxML/GeometricFlux.jl,https://github.com/FluxML/GeometricFlux.jl,MIT,2019-04-04 12:18:22,2021-04-10 03:11:39,2021-04-10 03:11:39,16.0,23.0,25.0,189,591.0,2021-04-03 07:11:11,0.7.6,,,19.0,Geometric Deep Learning for Flux.,,,10.0,15,True,2,,FluxML/GeometricFlux.jl
27,XGBoost.jl,dmlc/XGBoost.jl,ml-frameworks,https://github.com/dmlc/XGBoost.jl,https://github.com/dmlc/XGBoost.jl,,2014-08-14 19:10:42,2021-02-09 18:08:19,2020-12-22 16:30:49,92.0,8.0,44.0,183,182.0,2020-12-22 16:36:19,1.1.1,,,7.0,XGBoost Julia Package.,,,22.0,15,False,2,,
28,HypothesisTests.jl,JuliaStats/HypothesisTests.jl,probabilistics,https://github.com/JuliaStats/HypothesisTests.jl,https://github.com/JuliaStats/HypothesisTests.jl,,2012-12-09 05:43:21,2021-04-20 15:43:00,2021-04-20 15:42:57,62.0,38.0,61.0,168,262.0,2021-04-20 13:08:43,0.10.3,,,13.0,Hypothesis tests for Julia.,,,40.0,15,False,1,,
29,MLDatasets.jl,JuliaML/MLDatasets.jl,data-loading,https://github.com/JuliaML/MLDatasets.jl,https://github.com/JuliaML/MLDatasets.jl,MIT,2016-09-08 09:16:50,2021-03-30 08:36:14,2021-03-30 06:13:22,25.0,11.0,12.0,122,152.0,2021-03-30 06:30:37,0.5.6,4.0,0.0,14.0,Utility package for accessing common Machine Learning datasets in Julia.,,,13.0,15,True,2,,
30,DiffEqBase.jl,SciML/DiffEqBase.jl,ml-frameworks,https://github.com/SciML/DiffEqBase.jl,https://github.com/SciML/DiffEqBase.jl,,2016-10-20 22:28:36,2021-04-26 11:35:43,2021-04-21 10:07:38,68.0,47.0,122.0,112,2248.0,2021-04-21 10:18:51,6.60.0,,,100.0,The lightweight Base library for shared types and functionality for defining differential equation and scientific..,,,65.0,15,False,2,,
31,ADCME.jl,kailaix/ADCME.jl,ml-frameworks,https://github.com/kailaix/ADCME.jl,https://github.com/kailaix/ADCME.jl,MIT,2019-06-02 16:12:38,2021-04-12 08:13:16,2021-04-12 08:07:02,32.0,13.0,23.0,111,1071.0,2021-03-17 05:52:07,0.7.1,95.0,4.0,47.0,Automatic Differentiation Library for Computational and Mathematical Engineering.,,,4.0,15,True,2,,
32,ScikitLearn.jl,cstjean/ScikitLearn.jl,ml-frameworks,https://github.com/cstjean/ScikitLearn.jl,https://github.com/cstjean/ScikitLearn.jl,,2016-02-28 17:06:55,2021-04-23 22:30:19,2020-12-04 16:44:29,56.0,23.0,51.0,427,466.0,2020-12-04 19:10:52,0.6.3,,,9.0,Julia implementation of the scikit-learn API https://cstjean.github.io/ScikitLearn.jl/dev/.,,,11.0,14,False,2,1.0,
33,Clustering.jl,JuliaStats/Clustering.jl,ml-frameworks,https://github.com/JuliaStats/Clustering.jl,https://github.com/JuliaStats/Clustering.jl,,2012-11-24 15:47:36,2021-03-11 18:32:20,2021-03-11 18:32:20,92.0,31.0,56.0,231,328.0,2020-10-18 12:18:16,0.14.2,,,19.0,A Julia package for data clustering.,,,46.0,14,False,2,,
34,Metalhead.jl,FluxML/Metalhead.jl,image,https://github.com/FluxML/Metalhead.jl,https://github.com/FluxML/Metalhead.jl,,2018-02-15 21:37:03,2021-04-15 18:24:21,2021-01-25 20:08:18,39.0,18.0,17.0,196,123.0,2020-08-10 13:46:26,0.5.1,10147.0,267.0,9.0,Computer vision models for Flux.,,,18.0,14,False,3,,
35,MLBase.jl,JuliaStats/MLBase.jl,ml-frameworks,https://github.com/JuliaStats/MLBase.jl,https://github.com/JuliaStats/MLBase.jl,MIT,2013-02-10 15:50:23,2020-02-08 15:53:11,2018-10-08 21:18:12,57.0,7.0,13.0,177,168.0,2018-08-31 05:41:36,0.8.0,,,3.0,A set of functions to support the development of machine learning algorithms.,,,16.0,14,False,2,,
36,MeasureTheory.jl,cscherrer/MeasureTheory.jl,probabilistics,https://github.com/cscherrer/MeasureTheory.jl,https://github.com/cscherrer/MeasureTheory.jl,MIT,2020-01-11 19:44:00,2021-04-25 18:56:36,2021-04-25 18:50:38,8.0,22.0,6.0,161,183.0,2021-04-07 18:00:11,0.6.2,,,12.0,,,,5.0,14,False,3,,
37,KernelFunctions.jl,JuliaGaussianProcesses/KernelFunctions.jl,ml-frameworks,https://github.com/JuliaGaussianProcesses/KernelFunctions.jl,https://github.com/JuliaGaussianProcesses/KernelFunctions.jl,MIT,2019-05-24 13:53:47,2021-04-21 21:56:25,2021-04-15 21:20:22,13.0,39.0,60.0,105,599.0,2021-04-15 13:41:25,0.9.4,,,54.0,Julia package for kernel functions for machine learning.,,,14.0,14,True,2,,
38,NNlib.jl,FluxML/NNlib.jl,ml-frameworks,https://github.com/FluxML/NNlib.jl,https://github.com/FluxML/NNlib.jl,,2017-08-21 17:14:26,2021-04-25 16:18:27,2021-04-21 05:49:48,79.0,36.0,75.0,96,892.0,2021-04-23 12:29:16,0.7.19,,,43.0,Neural Network primitives with multiple backends.,,,66.0,14,False,2,,
39,ForneyLab.jl,biaslab/ForneyLab.jl,ml-frameworks,https://github.com/biaslab/ForneyLab.jl,https://github.com/biaslab/ForneyLab.jl,,2018-06-27 09:12:26,2021-04-08 11:01:22,2021-04-08 10:39:25,25.0,17.0,43.0,89,2093.0,2021-04-08 10:46:06,0.11.3,,,8.0,Julia package for automatically generating Bayesian inference algorithms through message passing on Forney-style..,,,19.0,14,False,2,,
40,Yota.jl,dfdx/Yota.jl,ml-frameworks,https://github.com/dfdx/Yota.jl,https://github.com/dfdx/Yota.jl,MIT,2018-07-14 22:04:47,2021-04-25 15:00:53,2021-03-22 20:16:24,8.0,10.0,28.0,81,259.0,2021-01-23 18:33:54,0.4.4,,,13.0,Reverse-mode automatic differentiation in Julia.,,,8.0,14,False,2,,
41,TensorBoardLogger.jl,PhilipVinc/TensorBoardLogger.jl,ml-experiments,https://github.com/PhilipVinc/TensorBoardLogger.jl,https://github.com/PhilipVinc/TensorBoardLogger.jl,MIT,2019-01-27 21:15:07,2021-04-25 15:13:49,2021-04-25 14:22:06,17.0,12.0,21.0,66,168.0,2021-04-25 12:39:40,0.1.16,,,17.0,Easy peasy logging to TensorBoard with Julia.,,,17.0,14,False,1,,
42,ReadStat.jl,queryverse/ReadStat.jl,probabilistics,https://github.com/queryverse/ReadStat.jl,https://github.com/queryverse/ReadStat.jl,MIT,2013-12-01 21:59:46,2021-04-22 20:06:07,2021-04-22 19:11:18,14.0,7.0,21.0,65,168.0,2021-04-22 20:04:29,1.1.0,,,10.0,"Read files from Stata, SAS, and SPSS.",,,10.0,14,False,3,1.0,
43,ReservoirComputing.jl,SciML/ReservoirComputing.jl,ml-frameworks,https://github.com/SciML/ReservoirComputing.jl,https://github.com/SciML/ReservoirComputing.jl,MIT,2020-01-16 14:21:10,2021-02-28 22:46:04,2021-02-28 15:46:06,12.0,5.0,3.0,63,276.0,2021-02-28 22:39:34,0.6.2,,,9.0,Reservoir computing utilities for scientific machine learning (SciML).,,,10.0,14,False,2,,
44,TSML.jl,IBM/TSML.jl,ml-frameworks,https://github.com/IBM/TSML.jl,https://github.com/IBM/TSML.jl,MIT,2019-01-31 03:57:56,2021-04-22 00:15:23,2021-03-31 10:01:46,15.0,4.0,85.0,58,645.0,2021-03-29 23:02:45,2.7.0,,,40.0,"A package for time series data processing, classification, clustering, and prediction.",,,6.0,14,False,2,,
45,MLJTuning.jl,alan-turing-institute/MLJTuning.jl,hyperopt,https://github.com/alan-turing-institute/MLJTuning.jl,https://github.com/alan-turing-institute/MLJTuning.jl,MIT,2020-01-14 18:48:56,2021-04-21 04:56:12,2021-04-21 04:23:34,3.0,6.0,25.0,35,494.0,2021-04-21 04:56:12,0.6.5,,,29.0,Hyperparameter optimization algorithms for use in the MLJ machine learning framework.,,,11.0,14,False,1,,
46,FluxTraining.jl,lorenzoh/FluxTraining.jl,ml-frameworks,https://github.com/lorenzoh/FluxTraining.jl,https://github.com/lorenzoh/FluxTraining.jl,MIT,2020-03-27 12:27:00,2021-04-22 00:16:53,2021-04-13 13:09:06,6.0,1.0,11.0,34,169.0,2021-02-21 14:04:48,0.1.3,,,4.0,A flexible neural net training library inspired by fast.ai.,,,6.0,14,False,2,,
47,Mocha.jl,pluskid/Mocha.jl,ml-frameworks,https://github.com/pluskid/Mocha.jl,https://github.com/pluskid/Mocha.jl,,2014-10-25 00:31:21,2018-12-06 01:09:35,2018-12-06 01:09:34,253.0,34.0,119.0,1264,1069.0,,,,,,Deep Learning framework for Julia.,,,47.0,13,False,3,,
48,Stheno.jl,willtebbutt/Stheno.jl,ml-frameworks,https://github.com/JuliaGaussianProcesses/Stheno.jl,https://github.com/JuliaGaussianProcesses/Stheno.jl,,2017-08-15 15:10:58,2021-04-12 21:06:59,2021-04-12 20:50:34,15.0,18.0,35.0,247,440.0,2021-04-12 21:06:59,0.7.3,,,36.0,Probabilistic Programming with Gaussian processes in Julia.,,,11.0,13,False,3,,JuliaGaussianProcesses/Stheno.jl
49,DecisionTree.jl,bensadeghi/DecisionTree.jl,ml-frameworks,https://github.com/bensadeghi/DecisionTree.jl,https://github.com/bensadeghi/DecisionTree.jl,,2013-01-14 01:29:53,2020-09-17 08:16:07,2020-09-17 07:02:13,73.0,26.0,40.0,227,448.0,2020-09-17 08:16:08,0.10.10,,,22.0,Julia implementation of Decision Tree (CART) and Random Forest algorithms.,,,22.0,13,False,3,,
50,ReinforcementLearning.jl,JuliaReinforcementLearning/ReinforcementLearning.jl,ml-frameworks,https://github.com/JuliaReinforcementLearning/ReinforcementLearning.jl,https://github.com/JuliaReinforcementLearning/ReinforcementLearning.jl,,2018-06-07 11:54:45,2021-04-26 00:53:08,2021-04-22 15:36:08,20.0,50.0,116.0,205,192.0,2021-01-26 00:58:41,0.8.0,,,11.0,A reinforcement learning package for Julia.,,,10.0,13,False,3,,
51,ArrayFire.jl,JuliaGPU/ArrayFire.jl,ml-frameworks,https://github.com/JuliaGPU/ArrayFire.jl,https://github.com/JuliaGPU/ArrayFire.jl,,2015-05-28 21:01:58,2020-11-18 16:52:26,2020-11-18 16:52:25,29.0,43.0,156.0,181,858.0,2020-09-25 07:25:28,1.0.7,,,11.0,Julia wrapper for the ArrayFire library.,,,29.0,13,False,3,,
52,AutoGrad.jl,denizyuret/AutoGrad.jl,ml-frameworks,https://github.com/denizyuret/AutoGrad.jl,https://github.com/denizyuret/AutoGrad.jl,,2016-08-08 20:24:26,2021-02-06 12:02:48,2021-02-06 12:02:43,22.0,18.0,49.0,148,480.0,2020-12-26 22:17:41,1.2.4,,,20.0,Julia port of the Python autograd package.,,,16.0,13,False,3,,
53,Merlin.jl,hshindo/Merlin.jl,ml-frameworks,https://github.com/hshindo/Merlin.jl,https://github.com/hshindo/Merlin.jl,MIT,2015-11-25 09:12:06,2019-11-25 10:44:17,2018-11-02 04:31:00,9.0,1.0,5.0,147,1454.0,2017-12-15 04:52:54,0.0.3,,,2.0,Deep Learning for Julia.,,,10.0,13,False,3,,
54,Enzyme.jl,wsmoses/Enzyme.jl,ml-frameworks,https://github.com/wsmoses/Enzyme.jl,https://github.com/wsmoses/Enzyme.jl,MIT,2019-09-06 20:06:06,2021-04-26 01:00:34,2021-03-25 00:30:13,7.0,15.0,8.0,93,90.0,2021-03-25 01:09:06,0.4.1,,,8.0,Julia bindings for the Enzyme automatic differentiator.,,,7.0,13,False,3,,
55,DataDeps.jl,oxinabox/DataDeps.jl,data-loading,https://github.com/oxinabox/DataDeps.jl,https://github.com/oxinabox/DataDeps.jl,,2017-10-18 01:23:10,2021-01-27 20:11:51,2021-01-27 19:46:04,30.0,24.0,47.0,90,354.0,2021-01-27 20:11:51,0.7.7,,,35.0,reproducible data setup for reproducible science.,,,25.0,13,False,2,,
56,Omega.jl,zenna/Omega.jl,probabilistics,https://github.com/zenna/Omega.jl,https://github.com/zenna/Omega.jl,MIT,2018-03-09 23:01:39,2021-03-31 20:34:49,2021-02-17 01:51:16,10.0,42.0,71.0,86,648.0,2019-06-24 21:56:14,0.1.1,,,2.0,"Causal, Higher-Order, Probabilistic Programming.",,,12.0,13,False,3,,
57,UMAP.jl,dillondaudert/UMAP.jl,ml-frameworks,https://github.com/dillondaudert/UMAP.jl,https://github.com/dillondaudert/UMAP.jl,MIT,2018-09-13 19:59:15,2021-03-23 16:59:18,2021-01-06 00:18:48,10.0,6.0,9.0,77,233.0,2020-10-13 15:14:54,0.1.8,,,9.0,Uniform Manifold Approximation and Projection (UMAP) implementation in Julia.,,,6.0,13,False,3,,
58,Mads.jl,madsjulia/Mads.jl,ml-frameworks,https://github.com/madsjulia/Mads.jl,https://github.com/madsjulia/Mads.jl,,2016-01-26 14:19:09,2021-04-21 23:14:07,2021-04-09 16:26:36,18.0,,17.0,73,2172.0,2021-03-30 16:22:26,1.0.10,,,50.0,MADS: Model Analysis & Decision Support.,,,19.0,13,False,3,,
59,JLBoost.jl,xiaodaigh/JLBoost.jl,ml-frameworks,https://github.com/xiaodaigh/JLBoost.jl,https://github.com/xiaodaigh/JLBoost.jl,MIT,2018-09-27 06:29:18,2021-04-26 03:27:37,2021-04-26 03:27:32,2.0,14.0,8.0,61,160.0,2020-11-28 11:08:40,0.1.16,,,17.0,A 100%-Julia implementation of Gradient-Boosting Regression Tree algorithms.,,,4.0,13,False,3,,
60,GaussianMixtures.jl,davidavdav/GaussianMixtures.jl,probabilistics,https://github.com/davidavdav/GaussianMixtures.jl,https://github.com/davidavdav/GaussianMixtures.jl,,2013-12-04 12:10:37,2021-03-02 00:23:47,2021-01-05 10:57:43,24.0,7.0,25.0,58,413.0,2021-01-05 11:52:22,0.3.4,,,5.0,Large scale Gaussian Mixture Models.,,,20.0,13,False,3,,
61,bat,bat/bat,ml-frameworks,https://github.com/bat/bat,https://github.com/bat/bat,,2014-03-17 15:00:24,2021-02-26 21:31:49,2021-02-26 21:31:16,32.0,41.0,169.0,56,796.0,2018-05-18 21:05:57,1.0.0,5243.0,63.0,9.0,Bayesian analysis toolkit http://mpp.mpg.de/bat.,,,14.0,13,False,3,,
62,Loess.jl,JuliaStats/Loess.jl,ml-frameworks,https://github.com/JuliaStats/Loess.jl,https://github.com/JuliaStats/Loess.jl,,2013-09-14 00:00:30,2021-03-13 09:59:21,2021-01-20 10:13:09,23.0,5.0,14.0,50,77.0,2020-12-15 09:17:05,0.5.3,,,7.0,"Local regression, so smooooth!.",,,23.0,13,False,3,,
63,ReinforcementLearningZoo.jl,JuliaReinforcementLearning/ReinforcementLearningZoo.jl,others,https://github.com/JuliaReinforcementLearning/ReinforcementLearningZoo.jl,https://github.com/JuliaReinforcementLearning/ReinforcementLearningZoo.jl,MIT,2020-02-15 03:08:44,2021-04-22 10:17:13,2021-04-20 20:16:16,20.0,1.0,18.0,44,165.0,2021-04-04 09:03:21,0.3.5,,,16.0,,,,15.0,13,False,1,,
64,DiffEqParamEstim.jl,SciML/DiffEqParamEstim.jl,ml-frameworks,https://github.com/SciML/DiffEqParamEstim.jl,https://github.com/SciML/DiffEqParamEstim.jl,,2016-10-28 11:33:04,2021-02-06 07:28:12,2021-02-06 06:57:36,21.0,15.0,54.0,33,522.0,2021-02-06 07:17:25,1.20.1,,,42.0,Easy scientific machine learning (SciML) parameter estimation with pre-built loss functions.,,,18.0,13,False,3,,
65,DataAugmentation.jl,lorenzoh/DataAugmentation.jl,data-loading,https://github.com/lorenzoh/DataAugmentation.jl,https://github.com/lorenzoh/DataAugmentation.jl,MIT,2020-03-27 13:44:36,2021-04-26 11:00:54,2021-04-26 09:55:42,3.0,2.0,1.0,4,157.0,2021-04-26 11:00:54,0.1.8,,,9.0,Flexible data augmentation library for machine and deep learning.,,,4.0,13,False,2,1.0,
66,Yao.jl,QuantumBFS/Yao.jl,ml-frameworks,https://github.com/QuantumBFS/Yao.jl,https://github.com/QuantumBFS/Yao.jl,,2018-04-13 13:47:02,2021-01-08 18:12:38,2021-01-08 18:09:09,62.0,22.0,112.0,526,498.0,2020-06-08 07:07:09,0.6.3,,,19.0,"Extensible, Efficient Quantum Algorithm Design for Humans.",,,10.0,12,False,3,,
67,Mamba.jl,brian-j-smith/Mamba.jl,ml-frameworks,https://github.com/brian-j-smith/Mamba.jl,https://github.com/brian-j-smith/Mamba.jl,,2014-06-15 14:21:04,2020-08-26 12:36:20,2020-08-26 00:01:31,45.0,39.0,74.0,236,1057.0,2020-04-04 19:02:55,0.12.4,,,51.0,Markov chain Monte Carlo (MCMC) for Bayesian analysis in julia.,,,13.0,12,False,3,,
