,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,updated_github_id,trending
31,MultivariateStats.jl,JuliaStats/MultivariateStats.jl,probabilistics,https://github.com/JuliaStats/MultivariateStats.jl,https://github.com/JuliaStats/MultivariateStats.jl,,2014-03-12 21:59:49,2021-04-29 20:05:01,2021-03-13 04:59:15,57.0,28.0,51.0,226,154.0,2020-11-15 22:14:12,0.8.0,,,5.0,A Julia package for multivariate statistics and data analysis (e.g. dimension reduction).,,,26.0,14,False,2,,-1.0
32,GaussianProcesses.jl,STOR-i/GaussianProcesses.jl,probabilistics,https://github.com/STOR-i/GaussianProcesses.jl,https://github.com/STOR-i/GaussianProcesses.jl,,2015-04-30 14:46:12,2021-05-02 10:02:42,2021-04-07 17:12:33,40.0,18.0,92.0,218,1034.0,2020-11-30 00:50:47,0.12.3,,,6.0,A Julia package for Gaussian Processes.,,,25.0,14,False,2,,-1.0
33,ReinforcementLearning.jl,JuliaReinforcementLearning/ReinforcementLearning.jl,ml-frameworks,https://github.com/JuliaReinforcementLearning/ReinforcementLearning.jl,https://github.com/JuliaReinforcementLearning/ReinforcementLearning.jl,,2018-06-07 11:54:45,2021-05-03 08:05:37,2021-05-03 08:05:37,21.0,55.0,118.0,209,195.0,2021-01-26 00:58:41,0.8.0,,,11.0,A reinforcement learning package for Julia.,,,10.0,14,False,2,,1.0
34,Metalhead.jl,FluxML/Metalhead.jl,image,https://github.com/FluxML/Metalhead.jl,https://github.com/FluxML/Metalhead.jl,,2018-02-15 21:37:03,2021-04-27 04:14:31,2021-01-25 20:08:18,38.0,18.0,17.0,198,123.0,2020-08-10 13:46:26,0.5.1,10261.0,263.0,9.0,Computer vision models for Flux.,,,18.0,14,False,3,,
35,XGBoost.jl,dmlc/XGBoost.jl,ml-frameworks,https://github.com/dmlc/XGBoost.jl,https://github.com/dmlc/XGBoost.jl,,2014-08-14 19:10:42,2021-02-09 18:08:19,2020-12-22 16:30:49,92.0,8.0,44.0,183,182.0,2020-12-22 16:36:19,1.1.1,,,7.0,XGBoost Julia Package.,,,22.0,14,False,2,,-1.0
36,MLBase.jl,JuliaStats/MLBase.jl,ml-frameworks,https://github.com/JuliaStats/MLBase.jl,https://github.com/JuliaStats/MLBase.jl,MIT,2013-02-10 15:50:23,2020-02-08 15:53:11,2018-10-08 21:18:12,57.0,7.0,13.0,177,168.0,2018-08-31 05:41:36,0.8.0,,,3.0,A set of functions to support the development of machine learning algorithms.,,,16.0,14,False,2,,
37,MeasureTheory.jl,cscherrer/MeasureTheory.jl,probabilistics,https://github.com/cscherrer/MeasureTheory.jl,https://github.com/cscherrer/MeasureTheory.jl,MIT,2020-01-11 19:44:00,2021-05-03 05:39:56,2021-04-25 18:50:38,9.0,22.0,6.0,163,183.0,2021-04-07 18:00:11,0.6.2,,,12.0,,,,5.0,14,False,2,,
38,KernelFunctions.jl,JuliaGaussianProcesses/KernelFunctions.jl,ml-frameworks,https://github.com/JuliaGaussianProcesses/KernelFunctions.jl,https://github.com/JuliaGaussianProcesses/KernelFunctions.jl,MIT,2019-05-24 13:53:47,2021-05-01 20:37:24,2021-04-27 07:54:55,14.0,38.0,61.0,109,600.0,2021-04-27 08:19:21,0.9.5,,,55.0,Julia package for kernel functions for machine learning.,,,14.0,14,True,2,,
39,NNlib.jl,FluxML/NNlib.jl,ml-frameworks,https://github.com/FluxML/NNlib.jl,https://github.com/FluxML/NNlib.jl,,2017-08-21 17:14:26,2021-04-27 18:59:30,2021-04-27 18:59:30,79.0,36.0,75.0,97,897.0,2021-04-23 12:29:16,0.7.19,,,43.0,Neural Network primitives with multiple backends.,,,66.0,14,False,2,,
40,ForneyLab.jl,biaslab/ForneyLab.jl,ml-frameworks,https://github.com/biaslab/ForneyLab.jl,https://github.com/biaslab/ForneyLab.jl,,2018-06-27 09:12:26,2021-04-28 09:47:12,2021-04-08 10:39:25,25.0,17.0,43.0,89,2093.0,2021-04-08 10:46:06,0.11.3,,,8.0,Julia package for automatically generating Bayesian inference algorithms through message passing on Forney-style..,,,19.0,14,False,2,,
41,Yota.jl,dfdx/Yota.jl,ml-frameworks,https://github.com/dfdx/Yota.jl,https://github.com/dfdx/Yota.jl,MIT,2018-07-14 22:04:47,2021-05-02 22:11:01,2021-03-22 20:16:24,8.0,10.0,28.0,81,259.0,2021-01-23 18:33:54,0.4.4,,,13.0,Reverse-mode automatic differentiation in Julia.,,,8.0,14,False,2,,
42,TensorBoardLogger.jl,PhilipVinc/TensorBoardLogger.jl,ml-experiments,https://github.com/PhilipVinc/TensorBoardLogger.jl,https://github.com/PhilipVinc/TensorBoardLogger.jl,MIT,2019-01-27 21:15:07,2021-04-25 15:13:49,2021-04-25 14:22:06,17.0,12.0,21.0,67,168.0,2021-04-25 12:39:40,0.1.16,,,17.0,Easy peasy logging to TensorBoard with Julia.,,,17.0,14,False,1,,
43,ReadStat.jl,queryverse/ReadStat.jl,probabilistics,https://github.com/queryverse/ReadStat.jl,https://github.com/queryverse/ReadStat.jl,MIT,2013-12-01 21:59:46,2021-04-22 20:06:07,2021-04-22 19:11:18,14.0,7.0,21.0,66,168.0,2021-04-22 20:04:29,1.1.0,,,10.0,"Read files from Stata, SAS, and SPSS.",,,10.0,14,False,2,,
44,ReservoirComputing.jl,SciML/ReservoirComputing.jl,ml-frameworks,https://github.com/SciML/ReservoirComputing.jl,https://github.com/SciML/ReservoirComputing.jl,MIT,2020-01-16 14:21:10,2021-05-03 01:10:09,2021-05-03 01:02:54,12.0,5.0,3.0,64,278.0,2021-02-28 22:39:34,0.6.2,,,9.0,Reservoir computing utilities for scientific machine learning (SciML).,,,10.0,14,False,2,,
45,TSML.jl,IBM/TSML.jl,ml-frameworks,https://github.com/IBM/TSML.jl,https://github.com/IBM/TSML.jl,MIT,2019-01-31 03:57:56,2021-04-22 00:15:23,2021-03-31 10:01:46,15.0,4.0,85.0,58,645.0,2021-03-29 23:02:45,2.7.0,,,40.0,"A package for time series data processing, classification, clustering, and prediction.",,,6.0,14,False,2,,
46,MLJTuning.jl,alan-turing-institute/MLJTuning.jl,hyperopt,https://github.com/alan-turing-institute/MLJTuning.jl,https://github.com/alan-turing-institute/MLJTuning.jl,MIT,2020-01-14 18:48:56,2021-05-03 00:38:32,2021-04-21 04:23:34,3.0,6.0,25.0,35,494.0,2021-04-21 04:56:12,0.6.5,,,29.0,Hyperparameter optimization algorithms for use in the MLJ machine learning framework.,,,11.0,14,False,1,,
47,FluxTraining.jl,lorenzoh/FluxTraining.jl,ml-frameworks,https://github.com/lorenzoh/FluxTraining.jl,https://github.com/lorenzoh/FluxTraining.jl,MIT,2020-03-27 12:27:00,2021-04-22 00:16:53,2021-04-13 13:09:06,6.0,1.0,11.0,34,169.0,2021-02-21 14:04:48,0.1.3,,,4.0,A flexible neural net training library inspired by fast.ai.,,,6.0,14,False,2,,
48,Mocha.jl,pluskid/Mocha.jl,ml-frameworks,https://github.com/pluskid/Mocha.jl,https://github.com/pluskid/Mocha.jl,,2014-10-25 00:31:21,2018-12-06 01:09:35,2018-12-06 01:09:34,254.0,35.0,119.0,1265,1069.0,,,,,,Deep Learning framework for Julia.,,,47.0,13,False,3,,
49,Stheno.jl,willtebbutt/Stheno.jl,ml-frameworks,https://github.com/JuliaGaussianProcesses/Stheno.jl,https://github.com/JuliaGaussianProcesses/Stheno.jl,,2017-08-15 15:10:58,2021-05-03 00:46:26,2021-04-12 20:50:34,16.0,18.0,35.0,249,440.0,2021-04-12 21:06:59,0.7.3,,,36.0,Probabilistic Programming with Gaussian processes in Julia.,,,11.0,13,False,3,JuliaGaussianProcesses/Stheno.jl,
50,DecisionTree.jl,bensadeghi/DecisionTree.jl,ml-frameworks,https://github.com/bensadeghi/DecisionTree.jl,https://github.com/bensadeghi/DecisionTree.jl,,2013-01-14 01:29:53,2020-09-17 08:16:07,2020-09-17 07:02:13,73.0,26.0,40.0,228,448.0,2020-09-17 08:16:08,0.10.10,,,22.0,Julia implementation of Decision Tree (CART) and Random Forest algorithms.,,,22.0,13,False,3,,
51,ArrayFire.jl,JuliaGPU/ArrayFire.jl,ml-frameworks,https://github.com/JuliaGPU/ArrayFire.jl,https://github.com/JuliaGPU/ArrayFire.jl,,2015-05-28 21:01:58,2020-11-18 16:52:26,2020-11-18 16:52:25,30.0,43.0,156.0,180,858.0,2020-09-25 07:25:28,1.0.7,,,11.0,Julia wrapper for the ArrayFire library.,,,29.0,13,False,3,,
52,Merlin.jl,hshindo/Merlin.jl,ml-frameworks,https://github.com/hshindo/Merlin.jl,https://github.com/hshindo/Merlin.jl,MIT,2015-11-25 09:12:06,2019-11-25 10:44:17,2018-11-02 04:31:00,9.0,1.0,5.0,146,1454.0,2017-12-15 04:52:54,0.0.3,,,2.0,Deep Learning for Julia.,,,10.0,13,False,3,,
53,KernelDensity.jl,JuliaStats/KernelDensity.jl,probabilistics,https://github.com/JuliaStats/KernelDensity.jl,https://github.com/JuliaStats/KernelDensity.jl,,2014-04-13 19:14:58,2021-05-03 05:18:10,2021-05-03 04:50:14,27.0,20.0,34.0,96,116.0,2021-05-03 05:18:10,0.6.3,,,10.0,Kernel density estimators for Julia.,,,21.0,13,False,3,,1.0
54,Enzyme.jl,wsmoses/Enzyme.jl,ml-frameworks,https://github.com/wsmoses/Enzyme.jl,https://github.com/wsmoses/Enzyme.jl,MIT,2019-09-06 20:06:06,2021-04-27 21:24:17,2021-03-25 00:30:13,8.0,15.0,8.0,94,90.0,2021-03-25 01:09:06,0.4.1,,,8.0,Julia bindings for the Enzyme automatic differentiator.,,,7.0,13,False,3,,
55,DataDeps.jl,oxinabox/DataDeps.jl,data-loading,https://github.com/oxinabox/DataDeps.jl,https://github.com/oxinabox/DataDeps.jl,,2017-10-18 01:23:10,2021-01-27 20:11:51,2021-01-27 19:46:04,30.0,24.0,47.0,90,354.0,2021-01-27 20:11:51,0.7.7,,,35.0,reproducible data setup for reproducible science.,,,25.0,13,False,2,,
56,Omega.jl,zenna/Omega.jl,probabilistics,https://github.com/zenna/Omega.jl,https://github.com/zenna/Omega.jl,MIT,2018-03-09 23:01:39,2021-03-31 20:34:49,2021-02-17 01:51:16,10.0,41.0,72.0,86,648.0,2019-06-24 21:56:14,0.1.1,,,2.0,"Causal, Higher-Order, Probabilistic Programming.",,,12.0,13,False,3,,
57,UMAP.jl,dillondaudert/UMAP.jl,ml-frameworks,https://github.com/dillondaudert/UMAP.jl,https://github.com/dillondaudert/UMAP.jl,MIT,2018-09-13 19:59:15,2021-03-23 16:59:18,2021-01-06 00:18:48,10.0,6.0,9.0,78,233.0,2020-10-13 15:14:54,0.1.8,,,9.0,Uniform Manifold Approximation and Projection (UMAP) implementation in Julia.,,,6.0,13,False,3,,
58,Mads.jl,madsjulia/Mads.jl,ml-frameworks,https://github.com/madsjulia/Mads.jl,https://github.com/madsjulia/Mads.jl,,2016-01-26 14:19:09,2021-04-21 23:14:07,2021-04-09 16:26:36,18.0,,17.0,73,2172.0,2021-03-30 16:22:26,1.0.10,,,50.0,MADS: Model Analysis & Decision Support.,,,19.0,13,False,3,,
59,GaussianMixtures.jl,davidavdav/GaussianMixtures.jl,probabilistics,https://github.com/davidavdav/GaussianMixtures.jl,https://github.com/davidavdav/GaussianMixtures.jl,,2013-12-04 12:10:37,2021-05-03 00:42:41,2021-01-05 10:57:43,25.0,8.0,25.0,58,413.0,2021-01-05 11:52:22,0.3.4,,,5.0,Large scale Gaussian Mixture Models.,,,20.0,13,False,3,,
60,Loess.jl,JuliaStats/Loess.jl,ml-frameworks,https://github.com/JuliaStats/Loess.jl,https://github.com/JuliaStats/Loess.jl,,2013-09-14 00:00:30,2021-03-13 09:59:21,2021-01-20 10:13:09,23.0,5.0,14.0,50,77.0,2020-12-15 09:17:05,0.5.3,,,7.0,"Local regression, so smooooth!.",,,23.0,13,False,3,,
61,ReinforcementLearningZoo.jl,JuliaReinforcementLearning/ReinforcementLearningZoo.jl,others,https://github.com/JuliaReinforcementLearning/ReinforcementLearningZoo.jl,https://github.com/JuliaReinforcementLearning/ReinforcementLearningZoo.jl,MIT,2020-02-15 03:08:44,2021-05-03 01:09:17,2021-04-27 23:23:05,20.0,1.0,18.0,44,169.0,2021-04-27 23:47:32,0.3.7,,,18.0,,,,15.0,13,False,1,,
62,DataAugmentation.jl,lorenzoh/DataAugmentation.jl,data-loading,https://github.com/lorenzoh/DataAugmentation.jl,https://github.com/lorenzoh/DataAugmentation.jl,MIT,2020-03-27 13:44:36,2021-05-03 01:09:50,2021-04-29 11:28:49,3.0,1.0,2.0,4,176.0,2021-04-29 12:22:32,0.2.2,,,12.0,Flexible data augmentation library for machine and deep learning.,,,4.0,13,False,2,,
63,Yao.jl,QuantumBFS/Yao.jl,ml-frameworks,https://github.com/QuantumBFS/Yao.jl,https://github.com/QuantumBFS/Yao.jl,,2018-04-13 13:47:02,2021-01-08 18:12:38,2021-01-08 18:09:09,62.0,23.0,112.0,526,498.0,2020-06-08 07:07:09,0.6.3,,,19.0,"Extensible, Efficient Quantum Algorithm Design for Humans.",,,10.0,12,False,3,,
64,Mamba.jl,brian-j-smith/Mamba.jl,ml-frameworks,https://github.com/brian-j-smith/Mamba.jl,https://github.com/brian-j-smith/Mamba.jl,,2014-06-15 14:21:04,2020-08-26 12:36:20,2020-08-26 00:01:31,45.0,39.0,74.0,236,1057.0,2020-04-04 19:02:55,0.12.4,,,51.0,Markov chain Monte Carlo (MCMC) for Bayesian analysis in julia.,,,13.0,12,False,3,,
65,Reinforce.jl,JuliaML/Reinforce.jl,ml-frameworks,https://github.com/JuliaML/Reinforce.jl,https://github.com/JuliaML/Reinforce.jl,,2016-07-25 13:34:25,2021-05-03 02:10:26,2021-05-03 02:10:23,32.0,8.0,14.0,182,140.0,2020-11-17 10:26:40,0.4.0,,,5.0,"Abstractions, algorithms, and utilities for reinforcement learning in Julia.",,,16.0,12,False,3,,
66,FastAI.jl,FluxML/FastAI.jl,ml-frameworks,https://github.com/FluxML/FastAI.jl,https://github.com/FluxML/FastAI.jl,MIT,2020-05-20 23:06:49,2021-04-30 11:06:22,2021-04-29 18:25:32,19.0,11.0,7.0,149,161.0,,,,,,"Repository of best practices for deep learning in Julia, inspired by fastai.",,,11.0,12,True,3,,2.0
67,AutoGrad.jl,denizyuret/AutoGrad.jl,ml-frameworks,https://github.com/denizyuret/AutoGrad.jl,https://github.com/denizyuret/AutoGrad.jl,,2016-08-08 20:24:26,2021-02-06 12:02:48,2021-02-06 12:02:43,22.0,18.0,49.0,148,480.0,2020-12-26 22:17:41,1.2.4,,,20.0,Julia port of the Python autograd package.,,,16.0,12,False,3,,-1.0
