,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,new_addition
10,MLJBase.jl,alan-turing-institute/MLJBase.jl,ml-frameworks,https://github.com/alan-turing-institute/MLJBase.jl,https://github.com/alan-turing-institute/MLJBase.jl,MIT,2018-12-11 14:42:03,2021-03-15 06:00:53,2021-03-10 23:44:25,22.0,38.0,155.0,57,1361,2021-03-11 00:28:12,0.17.6,,,87.0,Core functionality for the MLJ machine learning framework.,,,21.0,17,False,1,
11,DifferentialEquations.jl,SciML/DifferentialEquations.jl,ml-frameworks,https://github.com/SciML/DifferentialEquations.jl,https://github.com/SciML/DifferentialEquations.jl,,2016-05-11 05:13:39,2021-01-17 00:21:20,2020-12-25 23:50:56,134.0,109.0,530.0,1677,1240,2020-12-26 01:20:39,6.16.0,,,49.0,Multi-language suite for high-performance solvers of differential equations and scientific machine learning (SciML)..,,,19.0,16,False,2,
12,MLJ.jl,alan-turing-institute/MLJ.jl,ml-frameworks,https://github.com/alan-turing-institute/MLJ.jl,https://github.com/alan-turing-institute/MLJ.jl,,2018-08-01 06:29:39,2021-03-11 03:25:52,2021-03-11 01:51:30,106.0,77.0,367.0,983,1863,2021-02-08 04:57:22,0.16.0,,,46.0,A Julia machine learning framework.,,,43.0,16,False,2,
13,Zygote.jl,FluxML/Zygote.jl,ml-frameworks,https://github.com/FluxML/Zygote.jl,https://github.com/FluxML/Zygote.jl,,2018-08-06 22:08:26,2021-03-13 16:54:27,2021-03-13 16:36:46,127.0,275.0,246.0,931,1659,2021-03-13 16:54:27,0.6.4,,,52.0,Intimate Affection Auditor.,,,69.0,16,False,2,
14,ModelingToolkit.jl,SciML/ModelingToolkit.jl,ml-frameworks,https://github.com/SciML/ModelingToolkit.jl,https://github.com/SciML/ModelingToolkit.jl,,2018-02-27 01:36:26,2021-03-15 03:15:06,2021-03-15 02:33:31,65.0,65.0,296.0,531,2044,2021-03-15 03:00:25,5.13.2,,,100.0,A modeling framework for automatically parallelized scientific machine learning (SciML) in Julia. A computer algebra..,,,48.0,16,False,2,
15,Images.jl,JuliaImages/Images.jl,image,https://github.com/JuliaImages/Images.jl,https://github.com/JuliaImages/Images.jl,,2012-12-05 14:43:16,2021-01-23 01:28:45,2021-01-14 16:18:31,125.0,68.0,441.0,432,1465,2020-12-26 03:49:26,0.23.3,,,43.0,An image library for Julia.,,,85.0,16,False,1,
16,OrdinaryDiffEq.jl,SciML/OrdinaryDiffEq.jl,ml-frameworks,https://github.com/SciML/OrdinaryDiffEq.jl,https://github.com/SciML/OrdinaryDiffEq.jl,,2016-10-22 16:27:51,2021-03-15 02:35:01,2021-03-15 02:35:00,97.0,208.0,297.0,193,4905,2021-03-10 19:58:01,5.52.0,,,100.0,"High performance differential equation solvers for ordinary differential equations, including neural ordinary..",,,68.0,16,False,2,
17,Transformers.jl,chengchingwen/Transformers.jl,nlp,https://github.com/chengchingwen/Transformers.jl,https://github.com/chengchingwen/Transformers.jl,MIT,2018-12-27 06:24:53,2021-03-01 10:34:18,2021-03-01 10:34:18,24.0,4.0,12.0,170,459,2020-10-01 12:25:05,0.1.7,,,4.0,Julia Implementation of Transformer models.,,,7.0,16,True,1,
18,GLM.jl,JuliaStats/GLM.jl,probabilistics,https://github.com/JuliaStats/GLM.jl,https://github.com/JuliaStats/GLM.jl,,2012-05-30 03:30:46,2021-03-10 09:00:13,2021-03-10 09:00:10,85.0,56.0,153.0,353,425,2021-02-23 09:13:46,1.4.0,,,27.0,Generalized linear models in Julia.,,,39.0,15,False,1,
19,NeuralPDE.jl,SciML/NeuralPDE.jl,ml-frameworks,https://github.com/SciML/NeuralPDE.jl,https://github.com/SciML/NeuralPDE.jl,,2017-03-14 20:53:14,2021-03-12 19:44:25,2021-03-12 17:38:13,62.0,37.0,59.0,295,913,2021-02-22 00:11:32,3.8.0,,,30.0,Physics-Informed Neural Networks (PINN) and Deep BSDE Solvers of Differential Equations for Scientific Machine..,,,24.0,15,False,2,
20,Distances.jl,JuliaStats/Distances.jl,ml-frameworks,https://github.com/JuliaStats/Distances.jl,https://github.com/JuliaStats/Distances.jl,,2014-08-26 04:25:09,2021-01-29 15:58:31,2021-01-29 15:30:07,74.0,25.0,69.0,249,156,2021-01-29 15:58:31,0.10.2,,,19.0,A Julia package for evaluating distances (metrics) between vectors.,,,34.0,15,False,2,
21,Clustering.jl,JuliaStats/Clustering.jl,ml-frameworks,https://github.com/JuliaStats/Clustering.jl,https://github.com/JuliaStats/Clustering.jl,,2012-11-24 15:47:36,2021-03-11 18:32:20,2021-03-11 18:32:20,90.0,30.0,55.0,226,328,2020-10-18 12:18:16,0.14.2,,,19.0,A Julia package for data clustering.,,,46.0,15,False,2,
22,AutoMLPipeline.jl,IBM/AutoMLPipeline.jl,ml-frameworks,https://github.com/IBM/AutoMLPipeline.jl,https://github.com/IBM/AutoMLPipeline.jl,MIT,2020-02-25 15:46:12,2021-02-12 01:24:35,2021-02-11 22:26:03,18.0,17.0,44.0,222,353,2021-02-11 19:13:14,0.2.3,,,22.0,A package that makes it trivial to create and evaluate machine learning pipeline architectures.,,,4.0,15,True,2,
23,MultivariateStats.jl,JuliaStats/MultivariateStats.jl,probabilistics,https://github.com/JuliaStats/MultivariateStats.jl,https://github.com/JuliaStats/MultivariateStats.jl,,2014-03-12 21:59:49,2021-03-14 00:19:37,2021-03-13 04:59:15,57.0,27.0,50.0,218,154,2020-11-15 22:14:12,0.8.0,,,5.0,A Julia package for multivariate statistics and data analysis (e.g. dimension reduction).,,,26.0,15,False,1,
24,GaussianProcesses.jl,STOR-i/GaussianProcesses.jl,probabilistics,https://github.com/STOR-i/GaussianProcesses.jl,https://github.com/STOR-i/GaussianProcesses.jl,,2015-04-30 14:46:12,2021-03-04 15:49:23,2021-03-04 15:49:23,39.0,18.0,91.0,214,1033,2020-11-30 00:50:47,0.12.3,,,6.0,A Julia package for Gaussian Processes.,,,25.0,15,False,1,
25,XGBoost.jl,dmlc/XGBoost.jl,ml-frameworks,https://github.com/dmlc/XGBoost.jl,https://github.com/dmlc/XGBoost.jl,,2014-08-14 19:10:42,2021-02-09 18:08:19,2020-12-22 16:30:49,91.0,8.0,44.0,181,182,2020-12-22 16:36:19,1.1.1,,,7.0,XGBoost Julia Package.,,,22.0,15,False,2,
26,GeometricFlux.jl,yuehhua/GeometricFlux.jl,ml-frameworks,https://github.com/yuehhua/GeometricFlux.jl,https://github.com/yuehhua/GeometricFlux.jl,MIT,2019-04-04 12:18:22,2021-02-22 16:05:07,2021-02-22 16:05:07,15.0,19.0,21.0,173,576,2020-12-09 23:27:34,0.7.5,,,18.0,Geometric Deep Learning for Flux.,,,10.0,15,True,2,
27,HypothesisTests.jl,JuliaStats/HypothesisTests.jl,probabilistics,https://github.com/JuliaStats/HypothesisTests.jl,https://github.com/JuliaStats/HypothesisTests.jl,,2012-12-09 05:43:21,2021-02-16 22:34:08,2020-11-07 14:44:16,60.0,36.0,60.0,164,256,2020-11-07 16:08:06,0.10.2,,,12.0,Hypothesis tests for Julia.,,,40.0,15,False,1,
28,DFTK.jl/,JuliaMolSim/DFTK.jl/,ml-frameworks,https://github.com/JuliaMolSim/DFTK.jl,https://github.com/JuliaMolSim/DFTK.jl,MIT,2019-04-16 17:15:53,2021-03-13 20:59:58,2021-03-13 19:01:46,24.0,46.0,73.0,142,788,2021-03-13 20:37:49,0.2.7,,,33.0,Density-functional toolkit.,,,,15,True,2,True
29,MLDatasets.jl,JuliaML/MLDatasets.jl,data-loading,https://github.com/JuliaML/MLDatasets.jl,https://github.com/JuliaML/MLDatasets.jl,MIT,2016-09-08 09:16:50,2021-02-25 18:21:21,2021-02-09 09:00:27,25.0,10.0,11.0,120,149,2021-02-09 09:14:31,0.5.5,,,12.0,Utility package for accessing common Machine Learning datasets in Julia.,,,13.0,15,True,2,
30,ADCME.jl,kailaix/ADCME.jl,ml-frameworks,https://github.com/kailaix/ADCME.jl,https://github.com/kailaix/ADCME.jl,MIT,2019-06-02 16:12:38,2021-03-14 20:38:15,2021-03-14 20:30:48,29.0,12.0,22.0,105,1050,2021-01-06 06:53:29,0.6.7,93.0,4.0,46.0,Automatic Differentiation Library for Computational and Mathematical Engineering.,,,4.0,15,True,2,
31,DiffEqBase.jl,SciML/DiffEqBase.jl,ml-frameworks,https://github.com/SciML/DiffEqBase.jl,https://github.com/SciML/DiffEqBase.jl,,2016-10-20 22:28:36,2021-03-13 02:36:07,2021-03-13 02:14:46,66.0,47.0,117.0,103,2230,2021-03-13 02:36:07,6.57.8,,,100.0,The lightweight Base library for shared types and functionality for defining differential equation and scientific..,,,64.0,15,False,2,
32,TensorFlow.jl,malmaud/TensorFlow.jl,ml-frameworks,https://github.com/malmaud/TensorFlow.jl,https://github.com/malmaud/TensorFlow.jl,,2015-11-17 18:50:55,2020-12-11 20:13:13,2020-12-11 20:13:12,100.0,70.0,173.0,822,1324,2019-03-27 18:18:07,0.12.0,,,27.0,A Julia wrapper for TensorFlow.,,,38.0,14,False,2,
33,Metalhead.jl,FluxML/Metalhead.jl,image,https://github.com/FluxML/Metalhead.jl,https://github.com/FluxML/Metalhead.jl,,2018-02-15 21:37:03,2021-03-08 19:03:03,2021-01-25 20:08:18,39.0,18.0,17.0,190,123,2020-08-10 13:46:26,0.5.1,9555.0,258.0,9.0,Computer vision models for Flux.,,,18.0,14,False,3,
34,MLBase.jl,JuliaStats/MLBase.jl,ml-frameworks,https://github.com/JuliaStats/MLBase.jl,https://github.com/JuliaStats/MLBase.jl,MIT,2013-02-10 15:50:23,2020-02-08 15:53:11,2018-10-08 21:18:12,54.0,7.0,13.0,173,168,2018-08-31 05:41:36,0.8.0,,,3.0,A set of functions to support the development of machine learning algorithms.,,,16.0,14,False,2,
35,KernelFunctions.jl,JuliaGaussianProcesses/KernelFunctions.jl,ml-frameworks,https://github.com/JuliaGaussianProcesses/KernelFunctions.jl,https://github.com/JuliaGaussianProcesses/KernelFunctions.jl,MIT,2019-05-24 13:53:47,2021-03-02 00:27:31,2021-02-15 10:05:36,9.0,36.0,55.0,96,587,2021-02-15 10:20:59,0.8.24,,,47.0,Julia package for kernel functions for machine learning.,,,12.0,14,False,2,
36,NNlib.jl,FluxML/NNlib.jl,ml-frameworks,https://github.com/FluxML/NNlib.jl,https://github.com/FluxML/NNlib.jl,,2017-08-21 17:14:26,2021-03-14 17:31:20,2021-03-14 15:16:35,80.0,38.0,69.0,92,840,2021-03-14 17:31:20,0.7.17,,,41.0,Neural Network primitives with multiple backends.,,,63.0,14,False,2,
37,DataDeps.jl,oxinabox/DataDeps.jl,data-loading,https://github.com/oxinabox/DataDeps.jl,https://github.com/oxinabox/DataDeps.jl,,2017-10-18 01:23:10,2021-01-27 20:11:51,2021-01-27 19:46:04,28.0,24.0,44.0,88,354,2021-01-27 20:11:51,0.7.7,,,35.0,reproducible data setup for reproducible science.,,,25.0,14,False,2,
38,ForneyLab.jl,biaslab/ForneyLab.jl,ml-frameworks,https://github.com/biaslab/ForneyLab.jl,https://github.com/biaslab/ForneyLab.jl,,2018-06-27 09:12:26,2021-03-04 10:36:38,2021-02-23 17:47:04,25.0,18.0,39.0,87,2081,2020-10-22 16:51:36,0.11.2,,,7.0,Julia package for automatically generating Bayesian inference algorithms through message passing on Forney-style..,,,19.0,14,False,2,
39,Yota.jl,dfdx/Yota.jl,ml-frameworks,https://github.com/dfdx/Yota.jl,https://github.com/dfdx/Yota.jl,MIT,2018-07-14 22:04:47,2021-03-14 19:15:37,2021-01-23 15:52:39,8.0,10.0,28.0,83,243,2021-01-23 18:33:54,0.4.4,,,13.0,Reverse-mode automatic differentiation in Julia.,,,8.0,14,False,2,
40,UMAP.jl,dillondaudert/UMAP.jl,ml-frameworks,https://github.com/dillondaudert/UMAP.jl,https://github.com/dillondaudert/UMAP.jl,MIT,2018-09-13 19:59:15,2021-01-06 00:18:48,2021-01-06 00:18:48,9.0,6.0,9.0,73,233,2020-10-13 15:14:54,0.1.8,,,9.0,Uniform Manifold Approximation and Projection (UMAP) implementation in Julia.,,,6.0,14,False,2,
41,TensorBoardLogger.jl,PhilipVinc/TensorBoardLogger.jl,ml-experiments,https://github.com/PhilipVinc/TensorBoardLogger.jl,https://github.com/PhilipVinc/TensorBoardLogger.jl,MIT,2019-01-27 21:15:07,2021-03-12 12:38:25,2021-02-24 08:24:16,16.0,11.0,20.0,64,157,2021-02-24 08:41:06,0.1.15,,,16.0,Easy peasy logging to TensorBoard with Julia.,,,16.0,14,False,1,
42,ReservoirComputing.jl,SciML/ReservoirComputing.jl,ml-frameworks,https://github.com/SciML/ReservoirComputing.jl,https://github.com/SciML/ReservoirComputing.jl,MIT,2020-01-16 14:21:10,2021-02-28 22:46:04,2021-02-28 15:46:06,11.0,5.0,3.0,58,276,2021-02-28 22:39:34,0.6.2,,,9.0,Reservoir computing utilities for scientific machine learning (SciML).,,,10.0,14,False,2,
43,TSML.jl,IBM/TSML.jl,ml-frameworks,https://github.com/IBM/TSML.jl,https://github.com/IBM/TSML.jl,MIT,2019-01-31 03:57:56,2021-02-12 05:09:26,2021-02-12 01:12:49,15.0,6.0,82.0,55,637,2021-02-12 02:31:33,2.6.3,,,39.0,"A package for time series data processing, classification, clustering, and prediction.",,,6.0,14,False,2,
44,FluxTraining.jl,lorenzoh/FluxTraining.jl,ml-frameworks,https://github.com/lorenzoh/FluxTraining.jl,https://github.com/lorenzoh/FluxTraining.jl,MIT,2020-03-27 12:27:00,2021-02-22 16:49:59,2021-02-22 15:00:36,5.0,1.0,11.0,32,167,2021-02-21 14:04:48,0.1.3,,,4.0,A flexible neural net training library inspired by fast.ai.,,,6.0,14,False,2,True
45,Mocha.jl,pluskid/Mocha.jl,ml-frameworks,https://github.com/pluskid/Mocha.jl,https://github.com/pluskid/Mocha.jl,,2014-10-25 00:31:21,2018-12-06 01:09:35,2018-12-06 01:09:34,252.0,34.0,119.0,1259,1069,,,,,,Deep Learning framework for Julia.,,,47.0,13,False,3,
46,Yao.jl,QuantumBFS/Yao.jl,ml-frameworks,https://github.com/QuantumBFS/Yao.jl,https://github.com/QuantumBFS/Yao.jl,,2018-04-13 13:47:02,2021-01-08 18:12:38,2021-01-08 18:09:09,55.0,21.0,111.0,511,498,2020-06-08 07:07:09,0.6.3,,,19.0,"Extensible, Efficient Quantum Algorithm Design for Humans.",,,10.0,13,False,3,
47,ScikitLearn.jl,cstjean/ScikitLearn.jl,ml-frameworks,https://github.com/cstjean/ScikitLearn.jl,https://github.com/cstjean/ScikitLearn.jl,,2016-02-28 17:06:55,2020-12-04 19:10:52,2020-12-04 16:44:29,55.0,23.0,51.0,418,466,2020-12-04 19:10:52,0.6.3,,,9.0,Julia implementation of the scikit-learn API https://cstjean.github.io/ScikitLearn.jl/dev/.,,,11.0,13,False,3,
48,Stheno.jl,willtebbutt/Stheno.jl,ml-frameworks,https://github.com/willtebbutt/Stheno.jl,https://github.com/willtebbutt/Stheno.jl,,2017-08-15 15:10:58,2021-03-12 00:33:27,2021-01-27 09:50:51,14.0,16.0,33.0,233,426,2021-01-27 11:02:45,0.6.20,,,32.0,Probabilistic Programming with Gaussian processes in Julia.,,,11.0,13,False,3,
49,DecisionTree.jl,bensadeghi/DecisionTree.jl,ml-frameworks,https://github.com/bensadeghi/DecisionTree.jl,https://github.com/bensadeghi/DecisionTree.jl,,2013-01-14 01:29:53,2020-09-17 08:16:07,2020-09-17 07:02:13,72.0,26.0,40.0,224,448,2020-09-17 08:16:08,0.10.10,,,22.0,Julia implementation of Decision Tree (CART) and Random Forest algorithms.,,,22.0,13,False,3,
50,ReinforcementLearning.jl,JuliaReinforcementLearning/ReinforcementLearning.jl,ml-frameworks,https://github.com/JuliaReinforcementLearning/ReinforcementLearning.jl,https://github.com/JuliaReinforcementLearning/ReinforcementLearning.jl,,2018-06-07 11:54:45,2021-03-13 16:12:46,2021-03-13 16:12:46,16.0,45.0,96.0,190,187,2021-01-26 00:58:41,0.8.0,,,11.0,A reinforcement learning package for Julia.,,,10.0,13,False,3,
51,ArrayFire.jl,JuliaGPU/ArrayFire.jl,ml-frameworks,https://github.com/JuliaGPU/ArrayFire.jl,https://github.com/JuliaGPU/ArrayFire.jl,,2015-05-28 21:01:58,2020-11-18 16:52:26,2020-11-18 16:52:25,28.0,43.0,156.0,179,858,2020-09-25 07:25:28,1.0.7,,,11.0,Julia wrapper for the ArrayFire library.,,,29.0,13,False,3,
52,Reinforce.jl,JuliaML/Reinforce.jl,ml-frameworks,https://github.com/JuliaML/Reinforce.jl,https://github.com/JuliaML/Reinforce.jl,,2016-07-25 13:34:25,2021-01-30 19:30:00,2021-01-30 19:29:59,31.0,8.0,14.0,176,139,2020-11-17 10:26:40,0.4.0,,,5.0,"Abstractions, algorithms, and utilities for reinforcement learning in Julia.",,,16.0,13,False,3,
53,Merlin.jl,hshindo/Merlin.jl,ml-frameworks,https://github.com/hshindo/Merlin.jl,https://github.com/hshindo/Merlin.jl,MIT,2015-11-25 09:12:06,2019-11-25 10:44:17,2018-11-02 04:31:00,9.0,1.0,5.0,148,1454,2017-12-15 04:52:54,0.0.3,,,2.0,Deep Learning for Julia.,,,10.0,13,False,3,
54,AutoGrad.jl,denizyuret/AutoGrad.jl,ml-frameworks,https://github.com/denizyuret/AutoGrad.jl,https://github.com/denizyuret/AutoGrad.jl,,2016-08-08 20:24:26,2021-02-06 12:02:48,2021-02-06 12:02:43,22.0,18.0,49.0,147,480,2020-12-26 22:17:41,1.2.4,,,20.0,Julia port of the Python autograd package.,,,16.0,13,False,3,
55,KernelDensity.jl,JuliaStats/KernelDensity.jl,probabilistics,https://github.com/JuliaStats/KernelDensity.jl,https://github.com/JuliaStats/KernelDensity.jl,,2014-04-13 19:14:58,2021-01-06 15:21:02,2020-10-31 07:45:25,27.0,19.0,34.0,93,110,2020-10-31 09:07:10,0.6.2,,,9.0,Kernel density estimators for Julia.,,,21.0,13,False,3,
56,Enzyme.jl,wsmoses/Enzyme.jl,ml-frameworks,https://github.com/wsmoses/Enzyme.jl,https://github.com/wsmoses/Enzyme.jl,MIT,2019-09-06 20:06:06,2021-03-13 00:05:59,2021-03-11 21:07:53,7.0,16.0,7.0,90,87,2021-02-13 05:09:45,0.3.2,,,6.0,Julia bindings for the Enzyme automatic differentiator.,,,7.0,13,False,3,
57,Omega.jl,zenna/Omega.jl,probabilistics,https://github.com/zenna/Omega.jl,https://github.com/zenna/Omega.jl,MIT,2018-03-09 23:01:39,2021-03-10 16:51:55,2021-02-17 01:51:16,9.0,42.0,70.0,83,648,2019-06-24 21:56:14,0.1.1,,,2.0,"Causal, Higher-Order, Probabilistic Programming.",,,12.0,13,False,3,True
58,Mads.jl,madsjulia/Mads.jl,ml-frameworks,https://github.com/madsjulia/Mads.jl,https://github.com/madsjulia/Mads.jl,,2016-01-26 14:19:09,2021-02-15 19:02:48,2021-02-15 19:02:41,18.0,,17.0,71,2165,2021-02-10 22:09:23,1.0.8,,,48.0,MADS: Model Analysis & Decision Support.,,,19.0,13,False,3,
59,GaussianMixtures.jl,davidavdav/GaussianMixtures.jl,probabilistics,https://github.com/davidavdav/GaussianMixtures.jl,https://github.com/davidavdav/GaussianMixtures.jl,,2013-12-04 12:10:37,2021-03-02 00:23:47,2021-01-05 10:57:43,24.0,7.0,23.0,57,413,2021-01-05 11:52:22,0.3.4,,,5.0,Large scale Gaussian Mixture Models.,,,20.0,13,False,3,
60,bat,bat/bat,ml-frameworks,https://github.com/bat/bat,https://github.com/bat/bat,,2014-03-17 15:00:24,2021-02-26 21:31:49,2021-02-26 21:31:16,32.0,41.0,169.0,55,796,2018-05-18 21:05:57,1.0.0,5156.0,63.0,9.0,Bayesian analysis toolkit http://mpp.mpg.de/bat.,,,14.0,13,False,3,
61,Loess.jl,JuliaStats/Loess.jl,ml-frameworks,https://github.com/JuliaStats/Loess.jl,https://github.com/JuliaStats/Loess.jl,,2013-09-14 00:00:30,2021-03-13 09:59:21,2021-01-20 10:13:09,23.0,5.0,14.0,46,77,2020-12-15 09:17:05,0.5.3,,,7.0,"Local regression, so smooooth!.",,,23.0,13,False,3,
62,ReinforcementLearningZoo.jl,JuliaReinforcementLearning/ReinforcementLearningZoo.jl,others,https://github.com/JuliaReinforcementLearning/ReinforcementLearningZoo.jl,https://github.com/JuliaReinforcementLearning/ReinforcementLearningZoo.jl,MIT,2020-02-15 03:08:44,2021-03-03 00:49:57,2021-03-02 02:57:02,16.0,2.0,15.0,38,151,2021-03-01 14:24:00,0.3.4,,,15.0,,,,12.0,13,False,1,True
63,MLJTuning.jl,alan-turing-institute/MLJTuning.jl,hyperopt,https://github.com/alan-turing-institute/MLJTuning.jl,https://github.com/alan-turing-institute/MLJTuning.jl,MIT,2020-01-14 18:48:56,2021-02-19 05:24:53,2021-02-19 04:55:18,2.0,7.0,24.0,32,474,2021-02-19 05:24:53,0.6.2,,,26.0,Hyperparameter optimization algorithms for use in the MLJ machine learning framework.,,,9.0,13,False,1,
64,AtomicGraphNets.jl,aced-differentiate/AtomicGraphNets.jl,ml-frameworks,https://github.com/aced-differentiate/AtomicGraphNets.jl,https://github.com/aced-differentiate/AtomicGraphNets.jl,MIT,2020-04-01 21:13:23,2021-03-12 18:49:50,2021-03-12 15:59:56,3.0,12.0,8.0,17,187,2021-03-11 18:51:41,0.1.1,,,2.0,Atomic graph models for molecules and crystals in Julia.,,,5.0,13,False,3,True
65,Mamba.jl,brian-j-smith/Mamba.jl,ml-frameworks,https://github.com/brian-j-smith/Mamba.jl,https://github.com/brian-j-smith/Mamba.jl,,2014-06-15 14:21:04,2020-08-26 12:36:20,2020-08-26 00:01:31,45.0,39.0,74.0,233,1057,2020-04-04 19:02:55,0.12.4,,,51.0,Markov chain Monte Carlo (MCMC) for Bayesian analysis in julia.,,,13.0,12,False,3,
66,DiffEqBayes.jl,SciML/DiffEqBayes.jl,ml-frameworks,https://github.com/SciML/DiffEqBayes.jl,https://github.com/SciML/DiffEqBayes.jl,,2017-07-24 00:13:20,2021-03-05 01:59:21,2021-03-05 01:51:09,19.0,5.0,49.0,93,551,2021-02-11 18:48:12,2.23.0,,,46.0,"Extension functionality which uses Stan.jl, DynamicHMC.jl, and Turing.jl to estimate the parameters to differential..",,,17.0,12,False,3,True
67,LossFunctions.jl,JuliaML/LossFunctions.jl,ml-frameworks,https://github.com/JuliaML/LossFunctions.jl,https://github.com/JuliaML/LossFunctions.jl,,2015-10-11 10:41:50,2021-02-11 11:42:27,2020-06-01 17:39:24,24.0,7.0,66.0,89,423,2020-05-05 16:02:53,0.6.2,,,11.0,Julia package of loss functions for machine learning.,,,17.0,12,False,3,
68,JuliaML/MLDataUtils.jl,JuliaML/MLDataUtils.jl,data-loading,https://github.com/JuliaML/MLDataUtils.jl,https://github.com/JuliaML/MLDataUtils.jl,,2016-02-12 21:17:27,2021-02-12 01:33:16,2021-02-12 01:04:25,16.0,11.0,22.0,76,182,2021-02-12 01:33:17,0.5.3,,,8.0,"Utility package for generating, loading, splitting, and processing Machine Learning datasets.",,,15.0,12,False,3,
