,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,updated_github_id
10,DifferentialEquations.jl,SciML/DifferentialEquations.jl,ml-frameworks,https://github.com/SciML/DifferentialEquations.jl,https://github.com/SciML/DifferentialEquations.jl,,2016-05-11 05:13:39,2021-04-21 06:51:15,2021-04-21 06:51:15,143.0,115.0,541.0,1768,1241.0,2020-12-26 01:20:39,6.16.0,,,49.0,Multi-language suite for high-performance solvers of differential equations and scientific machine learning (SciML)..,,,19.0,16,False,2,
11,MLJ.jl,alan-turing-institute/MLJ.jl,ml-frameworks,https://github.com/alan-turing-institute/MLJ.jl,https://github.com/alan-turing-institute/MLJ.jl,,2018-08-01 06:29:39,2021-05-10 05:14:30,2021-05-10 05:00:35,111.0,82.0,381.0,1075,1927.0,2021-05-10 04:57:01,0.16.4,,,50.0,A Julia machine learning framework.,,,43.0,16,False,2,
12,Zygote.jl,FluxML/Zygote.jl,ml-frameworks,https://github.com/FluxML/Zygote.jl,https://github.com/FluxML/Zygote.jl,,2018-08-06 22:08:26,2021-05-16 20:01:32,2021-05-16 19:48:10,139.0,287.0,261.0,975,1738.0,2021-04-22 09:25:53,0.6.10,,,58.0,Intimate Affection Auditor.,,,74.0,16,False,2,
13,ModelingToolkit.jl,SciML/ModelingToolkit.jl,ml-frameworks,https://github.com/SciML/ModelingToolkit.jl,https://github.com/SciML/ModelingToolkit.jl,,2018-02-27 01:36:26,2021-05-11 08:11:58,2021-05-06 12:15:36,79.0,85.0,344.0,625,2255.0,2021-05-05 12:51:38,5.17.0,,,100.0,A modeling framework for automatically parallelized scientific machine learning (SciML) in Julia. A computer algebra..,,,56.0,16,False,2,
14,Images.jl,JuliaImages/Images.jl,image,https://github.com/JuliaImages/Images.jl,https://github.com/JuliaImages/Images.jl,,2012-12-05 14:43:16,2021-04-30 06:20:47,2021-04-30 06:20:47,124.0,43.0,469.0,442,1479.0,2021-04-27 07:48:51,0.24.1,,,45.0,An image library for Julia.,,,86.0,16,False,1,
15,OrdinaryDiffEq.jl,SciML/OrdinaryDiffEq.jl,ml-frameworks,https://github.com/SciML/OrdinaryDiffEq.jl,https://github.com/SciML/OrdinaryDiffEq.jl,,2016-10-22 16:27:51,2021-05-13 14:21:09,2021-05-13 14:21:06,102.0,216.0,311.0,216,4972.0,2021-05-12 16:34:48,5.53.2,,,100.0,"High performance differential equation solvers for ordinary differential equations, including neural ordinary..",,,72.0,16,False,2,
16,Transformers.jl,chengchingwen/Transformers.jl,nlp,https://github.com/chengchingwen/Transformers.jl,https://github.com/chengchingwen/Transformers.jl,MIT,2018-12-27 06:24:53,2021-05-10 14:27:40,2021-04-08 21:55:51,29.0,4.0,16.0,191,479.0,2021-04-08 22:14:24,0.1.11,,,8.0,Julia Implementation of Transformer models.,,,8.0,16,True,1,
17,DFTK.jl/,JuliaMolSim/DFTK.jl/,ml-frameworks,https://github.com/JuliaMolSim/DFTK.jl,https://github.com/JuliaMolSim/DFTK.jl,MIT,2019-04-16 17:15:53,2021-05-15 07:48:16,2021-05-12 11:22:23,25.0,49.0,75.0,163,811.0,2021-04-21 14:17:17,0.2.8,,,34.0,Density-functional toolkit.,,,,16,True,2,
18,TensorFlow.jl,malmaud/TensorFlow.jl,ml-frameworks,https://github.com/malmaud/TensorFlow.jl,https://github.com/malmaud/TensorFlow.jl,,2015-11-17 18:50:55,2021-04-01 18:06:44,2020-12-11 20:13:12,105.0,70.0,173.0,827,1324.0,2019-03-27 18:18:07,0.12.0,,,27.0,A Julia wrapper for TensorFlow.,,,38.0,15,False,2,
19,GLM.jl,JuliaStats/GLM.jl,probabilistics,https://github.com/JuliaStats/GLM.jl,https://github.com/JuliaStats/GLM.jl,,2012-05-30 03:30:46,2021-05-04 10:17:03,2021-05-02 14:42:55,88.0,51.0,167.0,375,434.0,2021-04-26 22:04:19,1.4.2,,,29.0,Generalized linear models in Julia.,,,42.0,15,False,1,
20,NeuralPDE.jl,SciML/NeuralPDE.jl,ml-frameworks,https://github.com/SciML/NeuralPDE.jl,https://github.com/SciML/NeuralPDE.jl,,2017-03-14 20:53:14,2021-05-11 21:33:46,2021-05-11 21:25:29,71.0,47.0,70.0,327,993.0,2021-04-13 21:52:36,3.10.1,,,35.0,Physics-Informed Neural Networks (PINN) and Deep BSDE Solvers of Differential Equations for Scientific Machine..,,,25.0,15,False,2,
21,Distances.jl,JuliaStats/Distances.jl,ml-frameworks,https://github.com/JuliaStats/Distances.jl,https://github.com/JuliaStats/Distances.jl,,2014-08-26 04:25:09,2021-05-03 08:37:45,2021-05-03 08:13:56,76.0,26.0,73.0,268,159.0,2021-05-03 08:37:45,0.10.3,,,20.0,A Julia package for evaluating distances (metrics) between vectors.,,,34.0,15,False,2,
22,MixedModels.jl,JuliaStats/MixedModels.jl,ml-frameworks,https://github.com/JuliaStats/MixedModels.jl,https://github.com/JuliaStats/MixedModels.jl,MIT,2013-03-29 21:24:25,2021-05-17 11:02:27,2021-05-16 14:02:18,37.0,20.0,196.0,265,,2021-05-17 10:48:22,3.8.0,,,66.0,A Julia package for fitting (statistical) mixed-effects models.,,,23.0,15,True,2,
23,AutoMLPipeline.jl,IBM/AutoMLPipeline.jl,ml-frameworks,https://github.com/IBM/AutoMLPipeline.jl,https://github.com/IBM/AutoMLPipeline.jl,MIT,2020-02-25 15:46:12,2021-05-08 02:55:31,2021-05-08 02:36:26,18.0,18.0,46.0,246,390.0,2021-05-08 02:55:31,0.3.5,,,28.0,A package that makes it trivial to create and evaluate machine learning pipeline architectures.,,,4.0,15,True,2,
24,ReinforcementLearning.jl,JuliaReinforcementLearning/ReinforcementLearning.jl,ml-frameworks,https://github.com/JuliaReinforcementLearning/ReinforcementLearning.jl,https://github.com/JuliaReinforcementLearning/ReinforcementLearning.jl,,2018-06-07 11:54:45,2021-05-17 01:24:12,2021-05-17 01:24:12,23.0,49.0,131.0,217,1010.0,2021-05-16 05:47:24,0.9.0,,,12.0,A reinforcement learning package for Julia.,,,28.0,15,False,2,
25,GeometricFlux.jl,yuehhua/GeometricFlux.jl,ml-frameworks,https://github.com/FluxML/GeometricFlux.jl,https://github.com/FluxML/GeometricFlux.jl,MIT,2019-04-04 12:18:22,2021-05-17 08:27:35,2021-05-17 08:27:34,17.0,24.0,25.0,197,604.0,2021-04-03 07:11:11,0.7.6,,,19.0,Geometric Deep Learning for Flux.,,,10.0,15,True,2,FluxML/GeometricFlux.jl
26,HypothesisTests.jl,JuliaStats/HypothesisTests.jl,probabilistics,https://github.com/JuliaStats/HypothesisTests.jl,https://github.com/JuliaStats/HypothesisTests.jl,,2012-12-09 05:43:21,2021-05-03 11:06:53,2021-05-03 10:35:15,63.0,38.0,61.0,174,267.0,2021-05-03 11:06:53,0.10.4,,,14.0,Hypothesis tests for Julia.,,,41.0,15,False,1,
27,MLDatasets.jl,JuliaML/MLDatasets.jl,data-loading,https://github.com/JuliaML/MLDatasets.jl,https://github.com/JuliaML/MLDatasets.jl,MIT,2016-09-08 09:16:50,2021-04-28 00:56:07,2021-03-30 06:13:22,25.0,11.0,13.0,124,152.0,2021-03-30 06:30:37,0.5.6,4.0,0.0,14.0,Utility package for accessing common Machine Learning datasets in Julia.,,,13.0,15,True,2,
28,ADCME.jl,kailaix/ADCME.jl,ml-frameworks,https://github.com/kailaix/ADCME.jl,https://github.com/kailaix/ADCME.jl,MIT,2019-06-02 16:12:38,2021-05-17 01:05:24,2021-05-16 23:06:20,34.0,14.0,23.0,123,1076.0,2021-05-17 00:59:01,0.7.2,96.0,4.0,48.0,Automatic Differentiation Library for Computational and Mathematical Engineering.,,,4.0,15,True,2,
29,DiffEqBase.jl,SciML/DiffEqBase.jl,ml-frameworks,https://github.com/SciML/DiffEqBase.jl,https://github.com/SciML/DiffEqBase.jl,,2016-10-20 22:28:36,2021-05-09 12:42:43,2021-05-09 12:09:10,67.0,47.0,122.0,115,2257.0,2021-05-09 12:42:43,6.61.0,,,100.0,The lightweight Base library for shared types and functionality for defining differential equation and scientific..,,,65.0,15,False,2,
30,ScikitLearn.jl,cstjean/ScikitLearn.jl,ml-frameworks,https://github.com/cstjean/ScikitLearn.jl,https://github.com/cstjean/ScikitLearn.jl,,2016-02-28 17:06:55,2021-05-11 17:22:05,2021-05-11 17:22:05,60.0,24.0,51.0,436,474.0,2020-12-04 19:10:52,0.6.3,,,9.0,Julia implementation of the scikit-learn API https://cstjean.github.io/ScikitLearn.jl/dev/.,,,13.0,14,False,2,
31,Clustering.jl,JuliaStats/Clustering.jl,ml-frameworks,https://github.com/JuliaStats/Clustering.jl,https://github.com/JuliaStats/Clustering.jl,,2012-11-24 15:47:36,2021-03-11 18:32:20,2021-03-11 18:32:20,93.0,31.0,57.0,233,328.0,2020-10-18 12:18:16,0.14.2,,,19.0,A Julia package for data clustering.,,,46.0,14,False,2,
32,DecisionTree.jl,bensadeghi/DecisionTree.jl,ml-frameworks,https://github.com/bensadeghi/DecisionTree.jl,https://github.com/bensadeghi/DecisionTree.jl,,2013-01-14 01:29:53,2021-05-06 14:11:29,2020-09-17 07:02:13,74.0,27.0,40.0,231,448.0,2020-09-17 08:16:08,0.10.10,,,22.0,Julia implementation of Decision Tree (CART) and Random Forest algorithms.,,,22.0,14,False,2,
33,MultivariateStats.jl,JuliaStats/MultivariateStats.jl,probabilistics,https://github.com/JuliaStats/MultivariateStats.jl,https://github.com/JuliaStats/MultivariateStats.jl,,2014-03-12 21:59:49,2021-04-29 20:05:01,2021-03-13 04:59:15,57.0,28.0,51.0,226,154.0,2020-11-15 22:14:12,0.8.0,,,5.0,A Julia package for multivariate statistics and data analysis (e.g. dimension reduction).,,,26.0,14,False,2,
34,GaussianProcesses.jl,STOR-i/GaussianProcesses.jl,probabilistics,https://github.com/STOR-i/GaussianProcesses.jl,https://github.com/STOR-i/GaussianProcesses.jl,,2015-04-30 14:46:12,2021-05-17 05:32:47,2021-05-17 05:32:47,41.0,20.0,92.0,220,1037.0,2020-11-30 00:50:47,0.12.3,,,6.0,A Julia package for Gaussian Processes.,,,25.0,14,False,2,
35,Metalhead.jl,FluxML/Metalhead.jl,image,https://github.com/FluxML/Metalhead.jl,https://github.com/FluxML/Metalhead.jl,,2018-02-15 21:37:03,2021-04-27 04:14:31,2021-01-25 20:08:18,40.0,19.0,17.0,200,123.0,2020-08-10 13:46:26,0.5.1,10419.0,267.0,9.0,Computer vision models for Flux.,,,18.0,14,False,3,
36,XGBoost.jl,dmlc/XGBoost.jl,ml-frameworks,https://github.com/dmlc/XGBoost.jl,https://github.com/dmlc/XGBoost.jl,,2014-08-14 19:10:42,2021-02-09 18:08:19,2020-12-22 16:30:49,93.0,8.0,44.0,183,182.0,2020-12-22 16:36:19,1.1.1,,,7.0,XGBoost Julia Package.,,,22.0,14,False,2,
37,MLBase.jl,JuliaStats/MLBase.jl,ml-frameworks,https://github.com/JuliaStats/MLBase.jl,https://github.com/JuliaStats/MLBase.jl,MIT,2013-02-10 15:50:23,2020-02-08 15:53:11,2018-10-08 21:18:12,58.0,7.0,13.0,176,168.0,2018-08-31 05:41:36,0.8.0,,,3.0,A set of functions to support the development of machine learning algorithms.,,,16.0,14,False,2,
38,MeasureTheory.jl,cscherrer/MeasureTheory.jl,probabilistics,https://github.com/cscherrer/MeasureTheory.jl,https://github.com/cscherrer/MeasureTheory.jl,MIT,2020-01-11 19:44:00,2021-05-07 17:42:48,2021-04-25 18:50:38,9.0,23.0,6.0,165,183.0,2021-04-07 18:00:11,0.6.2,,,12.0,,,,5.0,14,False,2,
39,KernelFunctions.jl,JuliaGaussianProcesses/KernelFunctions.jl,ml-frameworks,https://github.com/JuliaGaussianProcesses/KernelFunctions.jl,https://github.com/JuliaGaussianProcesses/KernelFunctions.jl,MIT,2019-05-24 13:53:47,2021-05-15 15:49:44,2021-05-15 15:34:47,14.0,38.0,64.0,115,605.0,2021-05-15 15:48:26,0.10.0,,,58.0,Julia package for kernel functions for machine learning.,,,14.0,14,True,2,
40,NNlib.jl,FluxML/NNlib.jl,ml-frameworks,https://github.com/FluxML/NNlib.jl,https://github.com/FluxML/NNlib.jl,,2017-08-21 17:14:26,2021-05-16 05:19:37,2021-05-14 11:39:18,80.0,37.0,75.0,99,903.0,2021-04-23 12:29:16,0.7.19,,,43.0,Neural Network primitives with multiple backends.,,,67.0,14,False,2,
41,ForneyLab.jl,biaslab/ForneyLab.jl,ml-frameworks,https://github.com/biaslab/ForneyLab.jl,https://github.com/biaslab/ForneyLab.jl,,2018-06-27 09:12:26,2021-05-14 00:05:42,2021-05-03 12:25:12,25.0,15.0,45.0,89,2095.0,2021-04-08 10:46:06,0.11.3,,,8.0,Julia package for automatically generating Bayesian inference algorithms through message passing on Forney-style..,,,19.0,14,False,2,
42,Yota.jl,dfdx/Yota.jl,ml-frameworks,https://github.com/dfdx/Yota.jl,https://github.com/dfdx/Yota.jl,MIT,2018-07-14 22:04:47,2021-05-16 22:25:24,2021-03-22 20:16:24,8.0,10.0,28.0,82,259.0,2021-01-23 18:33:54,0.4.4,,,13.0,Reverse-mode automatic differentiation in Julia.,,,8.0,14,False,2,
43,TensorBoardLogger.jl,PhilipVinc/TensorBoardLogger.jl,ml-experiments,https://github.com/PhilipVinc/TensorBoardLogger.jl,https://github.com/PhilipVinc/TensorBoardLogger.jl,MIT,2019-01-27 21:15:07,2021-05-15 20:39:32,2021-04-25 14:22:06,18.0,12.0,21.0,69,168.0,2021-04-25 12:39:40,0.1.16,,,17.0,Easy peasy logging to TensorBoard with Julia.,,,17.0,14,False,1,
44,ReservoirComputing.jl,SciML/ReservoirComputing.jl,ml-frameworks,https://github.com/SciML/ReservoirComputing.jl,https://github.com/SciML/ReservoirComputing.jl,MIT,2020-01-16 14:21:10,2021-05-03 01:10:09,2021-05-03 01:02:54,13.0,7.0,4.0,66,278.0,2021-02-28 22:39:34,0.6.2,,,9.0,Reservoir computing utilities for scientific machine learning (SciML).,,,10.0,14,False,2,
45,ReadStat.jl,queryverse/ReadStat.jl,probabilistics,https://github.com/queryverse/ReadStat.jl,https://github.com/queryverse/ReadStat.jl,MIT,2013-12-01 21:59:46,2021-05-06 17:57:32,2021-05-06 17:50:00,14.0,7.0,21.0,66,170.0,2021-04-22 20:04:29,1.1.0,,,10.0,"Read files from Stata, SAS, and SPSS.",,,10.0,14,False,2,
46,TSML.jl,IBM/TSML.jl,ml-frameworks,https://github.com/IBM/TSML.jl,https://github.com/IBM/TSML.jl,MIT,2019-01-31 03:57:56,2021-05-08 02:21:01,2021-05-08 02:14:27,15.0,4.0,85.0,58,653.0,2021-03-29 23:02:45,2.7.0,,,40.0,"A package for time series data processing, classification, clustering, and prediction.",,,6.0,14,False,2,
47,MLJTuning.jl,alan-turing-institute/MLJTuning.jl,hyperopt,https://github.com/alan-turing-institute/MLJTuning.jl,https://github.com/alan-turing-institute/MLJTuning.jl,MIT,2020-01-14 18:48:56,2021-05-03 00:38:32,2021-04-21 04:23:34,3.0,7.0,25.0,35,494.0,2021-04-21 04:56:12,0.6.5,,,29.0,Hyperparameter optimization algorithms for use in the MLJ machine learning framework.,,,11.0,14,False,1,
48,FluxTraining.jl,lorenzoh/FluxTraining.jl,ml-frameworks,https://github.com/lorenzoh/FluxTraining.jl,https://github.com/lorenzoh/FluxTraining.jl,MIT,2020-03-27 12:27:00,2021-05-10 07:02:00,2021-05-10 06:51:03,6.0,,12.0,34,175.0,2021-02-21 14:04:48,0.1.3,,,4.0,A flexible neural net training library inspired by fast.ai.,,,6.0,14,False,2,
49,Mocha.jl,pluskid/Mocha.jl,ml-frameworks,https://github.com/pluskid/Mocha.jl,https://github.com/pluskid/Mocha.jl,,2014-10-25 00:31:21,2018-12-06 01:09:35,2018-12-06 01:09:34,255.0,35.0,119.0,1266,1069.0,,,,,,Deep Learning framework for Julia.,,,47.0,13,False,3,
50,Stheno.jl,willtebbutt/Stheno.jl,ml-frameworks,https://github.com/JuliaGaussianProcesses/Stheno.jl,https://github.com/JuliaGaussianProcesses/Stheno.jl,,2017-08-15 15:10:58,2021-05-16 00:53:02,2021-05-10 17:02:49,18.0,18.0,35.0,252,444.0,2021-05-10 17:31:51,0.7.5,,,38.0,Probabilistic Programming with Gaussian processes in Julia.,,,11.0,13,False,3,JuliaGaussianProcesses/Stheno.jl
51,ArrayFire.jl,JuliaGPU/ArrayFire.jl,ml-frameworks,https://github.com/JuliaGPU/ArrayFire.jl,https://github.com/JuliaGPU/ArrayFire.jl,,2015-05-28 21:01:58,2020-11-18 16:52:26,2020-11-18 16:52:25,30.0,43.0,156.0,179,858.0,2020-09-25 07:25:28,1.0.7,,,11.0,Julia wrapper for the ArrayFire library.,,,33.0,13,False,3,
52,Merlin.jl,hshindo/Merlin.jl,ml-frameworks,https://github.com/hshindo/Merlin.jl,https://github.com/hshindo/Merlin.jl,MIT,2015-11-25 09:12:06,2019-11-25 10:44:17,2018-11-02 04:31:00,9.0,1.0,5.0,146,1454.0,2017-12-15 04:52:54,0.0.3,,,2.0,Deep Learning for Julia.,,,10.0,13,False,3,
53,KernelDensity.jl,JuliaStats/KernelDensity.jl,probabilistics,https://github.com/JuliaStats/KernelDensity.jl,https://github.com/JuliaStats/KernelDensity.jl,,2014-04-13 19:14:58,2021-05-03 05:18:10,2021-05-03 04:50:14,28.0,20.0,34.0,99,116.0,2021-05-03 05:18:10,0.6.3,,,10.0,Kernel density estimators for Julia.,,,21.0,13,False,3,
54,Enzyme.jl,wsmoses/Enzyme.jl,ml-frameworks,https://github.com/wsmoses/Enzyme.jl,https://github.com/wsmoses/Enzyme.jl,MIT,2019-09-06 20:06:06,2021-05-16 22:07:17,2021-05-15 21:52:02,8.0,15.0,9.0,95,95.0,2021-05-14 17:20:50,0.5.0,,,9.0,Julia bindings for the Enzyme automatic differentiator.,,,7.0,13,False,3,
55,DataDeps.jl,oxinabox/DataDeps.jl,data-loading,https://github.com/oxinabox/DataDeps.jl,https://github.com/oxinabox/DataDeps.jl,,2017-10-18 01:23:10,2021-01-27 20:11:51,2021-01-27 19:46:04,31.0,24.0,47.0,91,354.0,2021-01-27 20:11:51,0.7.7,,,35.0,reproducible data setup for reproducible science.,,,25.0,13,False,2,
56,Omega.jl,zenna/Omega.jl,probabilistics,https://github.com/zenna/Omega.jl,https://github.com/zenna/Omega.jl,MIT,2018-03-09 23:01:39,2021-03-31 20:34:49,2021-02-17 01:51:16,10.0,41.0,72.0,86,648.0,2019-06-24 21:56:14,0.1.1,,,2.0,"Causal, Higher-Order, Probabilistic Programming.",,,12.0,13,False,3,
57,UMAP.jl,dillondaudert/UMAP.jl,ml-frameworks,https://github.com/dillondaudert/UMAP.jl,https://github.com/dillondaudert/UMAP.jl,MIT,2018-09-13 19:59:15,2021-03-23 16:59:18,2021-01-06 00:18:48,10.0,6.0,9.0,78,233.0,2020-10-13 15:14:54,0.1.8,,,9.0,Uniform Manifold Approximation and Projection (UMAP) implementation in Julia.,,,6.0,13,False,3,
58,Mads.jl,madsjulia/Mads.jl,ml-frameworks,https://github.com/madsjulia/Mads.jl,https://github.com/madsjulia/Mads.jl,,2016-01-26 14:19:09,2021-05-04 23:07:58,2021-04-09 16:26:36,19.0,,17.0,74,2172.0,2021-03-30 16:22:26,1.0.10,,,50.0,MADS: Model Analysis & Decision Support.,,,19.0,13,False,3,
59,GaussianMixtures.jl,davidavdav/GaussianMixtures.jl,probabilistics,https://github.com/davidavdav/GaussianMixtures.jl,https://github.com/davidavdav/GaussianMixtures.jl,,2013-12-04 12:10:37,2021-05-03 00:42:41,2021-01-05 10:57:43,25.0,9.0,25.0,59,413.0,2021-01-05 11:52:22,0.3.4,,,5.0,Large scale Gaussian Mixture Models.,,,20.0,13,False,3,
60,Loess.jl,JuliaStats/Loess.jl,ml-frameworks,https://github.com/JuliaStats/Loess.jl,https://github.com/JuliaStats/Loess.jl,,2013-09-14 00:00:30,2021-03-13 09:59:21,2021-01-20 10:13:09,24.0,5.0,14.0,53,77.0,2020-12-15 09:17:05,0.5.3,,,7.0,"Local regression, so smooooth!.",,,23.0,13,False,3,
61,ReinforcementLearningZoo.jl,JuliaReinforcementLearning/ReinforcementLearningZoo.jl,others,https://github.com/JuliaReinforcementLearning/ReinforcementLearningZoo.jl,https://github.com/JuliaReinforcementLearning/ReinforcementLearningZoo.jl,MIT,2020-02-15 03:08:44,2021-05-06 07:15:00,2021-05-06 07:15:00,20.0,,19.0,45,170.0,2021-04-27 23:47:32,0.3.7,,,18.0,,,,15.0,13,False,1,
62,DataAugmentation.jl,lorenzoh/DataAugmentation.jl,data-loading,https://github.com/lorenzoh/DataAugmentation.jl,https://github.com/lorenzoh/DataAugmentation.jl,MIT,2020-03-27 13:44:36,2021-05-04 18:00:52,2021-05-04 17:52:23,3.0,,3.0,4,182.0,2021-04-29 12:22:32,0.2.2,,,12.0,Flexible data augmentation library for machine and deep learning.,,,4.0,13,False,2,
63,Yao.jl,QuantumBFS/Yao.jl,ml-frameworks,https://github.com/QuantumBFS/Yao.jl,https://github.com/QuantumBFS/Yao.jl,,2018-04-13 13:47:02,2021-01-08 18:12:38,2021-01-08 18:09:09,63.0,25.0,112.0,533,498.0,2020-06-08 07:07:09,0.6.3,,,19.0,"Extensible, Efficient Quantum Algorithm Design for Humans.",,,10.0,12,False,3,
64,Mamba.jl,brian-j-smith/Mamba.jl,ml-frameworks,https://github.com/brian-j-smith/Mamba.jl,https://github.com/brian-j-smith/Mamba.jl,,2014-06-15 14:21:04,2020-08-26 12:36:20,2020-08-26 00:01:31,46.0,39.0,74.0,237,1057.0,2020-04-04 19:02:55,0.12.4,,,51.0,Markov chain Monte Carlo (MCMC) for Bayesian analysis in julia.,,,13.0,12,False,3,
65,Reinforce.jl,JuliaML/Reinforce.jl,ml-frameworks,https://github.com/JuliaML/Reinforce.jl,https://github.com/JuliaML/Reinforce.jl,,2016-07-25 13:34:25,2021-05-03 02:10:26,2021-05-03 02:10:23,34.0,8.0,14.0,185,140.0,2020-11-17 10:26:40,0.4.0,,,5.0,"Abstractions, algorithms, and utilities for reinforcement learning in Julia.",,,16.0,12,False,3,
66,FastAI.jl,FluxML/FastAI.jl,ml-frameworks,https://github.com/FluxML/FastAI.jl,https://github.com/FluxML/FastAI.jl,MIT,2020-05-20 23:06:49,2021-05-17 06:55:06,2021-05-17 06:39:01,20.0,9.0,9.0,158,167.0,,,,,,"Repository of best practices for deep learning in Julia, inspired by fastai.",,,11.0,12,True,3,
67,AutoGrad.jl,denizyuret/AutoGrad.jl,ml-frameworks,https://github.com/denizyuret/AutoGrad.jl,https://github.com/denizyuret/AutoGrad.jl,,2016-08-08 20:24:26,2021-02-06 12:02:48,2021-02-06 12:02:43,22.0,18.0,49.0,148,480.0,2020-12-26 22:17:41,1.2.4,,,20.0,Julia port of the Python autograd package.,,,16.0,12,False,3,
68,Augmentor.jl,Evizero/Augmentor.jl,image,https://github.com/Evizero/Augmentor.jl,https://github.com/Evizero/Augmentor.jl,,2017-05-04 13:13:15,2021-05-17 08:22:31,2021-05-17 08:18:04,34.0,20.0,17.0,97,199.0,2020-09-17 17:04:26,0.6.2,,,11.0,A fast image augmentation library in Julia for machine learning.,,,4.0,12,False,3,
