,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,trending,updated_github_id,new_addition
10,Zygote.jl,FluxML/Zygote.jl,ml-frameworks,https://github.com/FluxML/Zygote.jl,https://github.com/FluxML/Zygote.jl,,2018-08-06 22:08:26,2021-09-27 06:28:31,2021-09-24 21:38:43,152.0,284.0,312.0,1075,1996.0,2021-09-24 22:54:49,0.6.23,,,71.0,Intimate Affection Auditor.,79.0,17,False,1,,,
11,Metalhead.jl,FluxML/Metalhead.jl,image,https://github.com/FluxML/Metalhead.jl,https://github.com/FluxML/Metalhead.jl,,2018-02-15 21:37:03,2021-08-26 14:40:52,2021-08-26 14:40:52,42.0,9.0,32.0,219,194.0,2021-05-20 08:39:09,0.5.3,12206.0,283.0,10.0,Computer vision models for Flux.,24.0,17,False,1,2.0,,
12,ADCME.jl,kailaix/ADCME.jl,ml-frameworks,https://github.com/kailaix/ADCME.jl,https://github.com/kailaix/ADCME.jl,MIT,2019-06-02 16:12:38,2021-09-09 15:35:28,2021-09-09 15:29:08,39.0,14.0,24.0,160,1109.0,2021-05-21 23:52:59,0.7.3,110.0,4.0,49.0,Automatic Differentiation Library for Computational and Mathematical Engineering.,4.0,17,True,1,2.0,,
13,MLJBase.jl,alan-turing-institute/MLJBase.jl,ml-frameworks,https://github.com/JuliaAI/MLJBase.jl,https://github.com/JuliaAI/MLJBase.jl,MIT,2018-12-11 14:42:03,2021-09-27 04:36:29,2021-09-27 02:33:46,30.0,37.0,186.0,81,1696.0,2021-09-27 04:36:29,0.18.22,,,100.0,Core functionality for the MLJ machine learning framework.,29.0,17,False,1,,JuliaAI/MLJBase.jl,
14,ModelingToolkit.jl,SciML/ModelingToolkit.jl,ml-frameworks,https://github.com/SciML/ModelingToolkit.jl,https://github.com/SciML/ModelingToolkit.jl,,2018-02-27 01:36:26,2021-09-25 23:17:23,2021-09-24 21:06:25,104.0,155.0,412.0,834,2702.0,2021-09-24 21:27:29,6.5.2,,,100.0,A modeling framework for automatically parallelized scientific machine learning (SciML) in Julia. A computer algebra..,67.0,16,False,2,,,
15,Images.jl,JuliaImages/Images.jl,image,https://github.com/JuliaImages/Images.jl,https://github.com/JuliaImages/Images.jl,,2012-12-05 14:43:16,2021-09-14 16:17:56,2021-09-02 06:03:29,127.0,40.0,477.0,453,1485.0,2021-04-27 07:48:51,0.24.1,,,45.0,An image library for Julia.,86.0,16,False,3,,,
16,NeuralPDE.jl,SciML/NeuralPDE.jl,ml-frameworks,https://github.com/SciML/NeuralPDE.jl,https://github.com/SciML/NeuralPDE.jl,,2017-03-14 20:53:14,2021-09-23 08:46:41,2021-09-23 08:36:59,88.0,63.0,100.0,447,1280.0,2021-09-02 14:52:03,4.0.0,,,42.0,Physics-Informed Neural Networks (PINN) and Deep BSDE Solvers of Differential Equations for Scientific Machine..,31.0,16,False,2,,,
17,FastAI.jl,FluxML/FastAI.jl,ml-frameworks,https://github.com/FluxML/FastAI.jl,https://github.com/FluxML/FastAI.jl,MIT,2020-05-20 23:06:49,2021-09-24 20:02:40,2021-09-20 12:43:42,33.0,8.0,23.0,391,226.0,2021-09-21 01:02:17,0.2.0,,,2.0,"Repository of best practices for deep learning in Julia, inspired by fastai.",13.0,16,True,2,4.0,,
18,TextAnalysis.jl,JuliaText/TextAnalysis.jl,nlp,https://github.com/JuliaText/TextAnalysis.jl,https://github.com/JuliaText/TextAnalysis.jl,,2012-05-11 18:44:33,2021-06-25 12:57:19,2021-06-25 12:57:19,87.0,41.0,69.0,319,580.0,2021-04-05 20:07:11,0.7.3,15138.0,322.0,11.0,Julia package for text analysis.,43.0,16,False,1,-1.0,,
19,ReinforcementLearning.jl,JuliaReinforcementLearning/ReinforcementLearning.jl,ml-frameworks,https://github.com/JuliaReinforcementLearning/ReinforcementLearning.jl,https://github.com/JuliaReinforcementLearning/ReinforcementLearning.jl,,2018-06-07 11:54:45,2021-09-27 09:29:45,2021-09-23 09:50:50,46.0,39.0,174.0,276,1168.0,2021-05-16 05:47:24,0.9.0,26.0,0.0,12.0,A reinforcement learning package for Julia.,36.0,16,False,2,,,
20,OrdinaryDiffEq.jl,SciML/OrdinaryDiffEq.jl,ml-frameworks,https://github.com/SciML/OrdinaryDiffEq.jl,https://github.com/SciML/OrdinaryDiffEq.jl,,2016-10-22 16:27:51,2021-09-23 20:07:33,2021-09-23 20:07:33,113.0,226.0,332.0,276,5259.0,2021-09-14 20:38:38,5.64.0,,,100.0,"High performance differential equation solvers for ordinary differential equations, including neural ordinary..",81.0,16,False,2,,,
21,GeometricFlux.jl,yuehhua/GeometricFlux.jl,ml-frameworks,https://github.com/FluxML/GeometricFlux.jl,https://github.com/FluxML/GeometricFlux.jl,MIT,2019-04-04 12:18:22,2021-09-24 05:19:35,2021-09-24 05:15:14,21.0,39.0,37.0,240,685.0,2021-08-14 16:52:02,0.7.7,,,20.0,Geometric Deep Learning for Flux.,13.0,16,True,2,,FluxML/GeometricFlux.jl,
22,Transformers.jl,chengchingwen/Transformers.jl,nlp,https://github.com/chengchingwen/Transformers.jl,https://github.com/chengchingwen/Transformers.jl,MIT,2018-12-27 06:24:53,2021-09-04 06:42:56,2021-09-03 20:35:54,37.0,10.0,22.0,239,496.0,2021-09-04 06:42:56,0.1.14,,,11.0,Julia Implementation of Transformer models.,11.0,16,True,1,,,
23,DFTK.jl/,JuliaMolSim/DFTK.jl/,ml-frameworks,https://github.com/JuliaMolSim/DFTK.jl,https://github.com/JuliaMolSim/DFTK.jl,MIT,2019-04-16 17:15:53,2021-09-05 12:13:24,2021-08-28 17:45:40,35.0,54.0,102.0,197,881.0,2021-07-27 20:33:16,0.3.10,,,45.0,Density-functional toolkit.,,16,True,2,,,
24,MLBase.jl,JuliaStats/MLBase.jl,ml-frameworks,https://github.com/JuliaStats/MLBase.jl,https://github.com/JuliaStats/MLBase.jl,MIT,2013-02-10 15:50:23,2021-09-17 21:54:08,2021-09-17 21:23:02,56.0,7.0,14.0,177,169.0,2021-09-17 21:54:08,0.9.0,,,4.0,A set of functions to support the development of machine learning algorithms.,17.0,16,True,2,2.0,,
25,DiffEqBase.jl,SciML/DiffEqBase.jl,ml-frameworks,https://github.com/SciML/DiffEqBase.jl,https://github.com/SciML/DiffEqBase.jl,,2016-10-20 22:28:36,2021-09-17 12:37:28,2021-09-17 12:37:26,72.0,47.0,127.0,149,2351.0,2021-09-03 16:28:38,6.73.2,,,100.0,The lightweight Base library for shared types and functionality for defining differential equation and scientific..,67.0,16,False,2,,,
26,ForneyLab.jl,biaslab/ForneyLab.jl,ml-frameworks,https://github.com/biaslab/ForneyLab.jl,https://github.com/biaslab/ForneyLab.jl,MIT,2018-06-27 09:12:26,2021-09-23 15:03:51,2021-09-22 16:10:18,27.0,15.0,49.0,103,2171.0,2021-07-22 15:06:17,0.11.3,,,8.0,Julia package for automatically generating Bayesian inference algorithms through message passing on Forney-style..,19.0,16,True,2,2.0,,
27,TensorFlow.jl,malmaud/TensorFlow.jl,ml-frameworks,https://github.com/malmaud/TensorFlow.jl,https://github.com/malmaud/TensorFlow.jl,,2015-11-17 18:50:55,2021-08-02 16:55:00,2021-08-02 16:55:00,107.0,71.0,173.0,841,1327.0,2019-03-27 18:18:07,0.12.0,,,27.0,A Julia wrapper for TensorFlow.,39.0,15,False,2,,,
28,GLM.jl,JuliaStats/GLM.jl,probabilistics,https://github.com/JuliaStats/GLM.jl,https://github.com/JuliaStats/GLM.jl,,2012-05-30 03:30:46,2021-09-24 22:09:03,2021-09-09 08:06:41,93.0,54.0,170.0,406,445.0,2021-06-30 00:46:29,1.5.1,,,31.0,Generalized linear models in Julia.,44.0,15,False,1,,,
29,MixedModels.jl,JuliaStats/MixedModels.jl,ml-frameworks,https://github.com/JuliaStats/MixedModels.jl,https://github.com/JuliaStats/MixedModels.jl,MIT,2013-03-29 21:24:25,2021-09-24 14:56:32,2021-09-24 14:43:11,39.0,20.0,216.0,287,,2021-09-17 07:56:15,4.3.0,,,73.0,A Julia package for fitting (statistical) mixed-effects models.,23.0,15,True,2,,,
30,Distances.jl,JuliaStats/Distances.jl,ml-frameworks,https://github.com/JuliaStats/Distances.jl,https://github.com/JuliaStats/Distances.jl,,2014-08-26 04:25:09,2021-09-17 12:14:11,2021-09-04 15:18:15,81.0,27.0,73.0,287,163.0,2021-09-04 15:42:41,0.10.4,,,21.0,A Julia package for evaluating distances (metrics) between vectors.,35.0,15,False,2,,,
31,AutoMLPipeline.jl,IBM/AutoMLPipeline.jl,ml-frameworks,https://github.com/IBM/AutoMLPipeline.jl,https://github.com/IBM/AutoMLPipeline.jl,MIT,2020-02-25 15:46:12,2021-09-02 14:58:52,2021-09-02 14:54:48,20.0,19.0,48.0,274,402.0,2021-05-23 15:24:33,0.3.6,,,29.0,A package that makes it trivial to create and evaluate machine learning pipeline architectures.,4.0,15,True,2,,,
32,GaussianProcesses.jl,STOR-i/GaussianProcesses.jl,probabilistics,https://github.com/STOR-i/GaussianProcesses.jl,https://github.com/STOR-i/GaussianProcesses.jl,,2015-04-30 14:46:12,2021-09-16 09:10:16,2021-09-16 09:10:16,47.0,22.0,95.0,255,1054.0,2021-06-15 14:28:14,0.12.4,,,7.0,A Julia package for Gaussian Processes.,29.0,15,False,1,,,
33,MeasureTheory.jl,cscherrer/MeasureTheory.jl,probabilistics,https://github.com/cscherrer/MeasureTheory.jl,https://github.com/cscherrer/MeasureTheory.jl,MIT,2020-01-11 19:44:00,2021-09-17 01:22:59,2021-09-08 01:41:55,21.0,34.0,16.0,235,331.0,2021-09-08 01:57:38,0.11.4,,,29.0,,10.0,15,False,1,,,
34,HypothesisTests.jl,JuliaStats/HypothesisTests.jl,probabilistics,https://github.com/JuliaStats/HypothesisTests.jl,https://github.com/JuliaStats/HypothesisTests.jl,,2012-12-09 05:43:21,2021-09-10 14:48:11,2021-06-15 14:26:56,64.0,44.0,62.0,192,270.0,2021-05-03 11:06:53,0.10.4,,,14.0,Hypothesis tests for Julia.,42.0,15,False,1,,,
35,MLDatasets.jl,JuliaML/MLDatasets.jl,data-loading,https://github.com/JuliaML/MLDatasets.jl,https://github.com/JuliaML/MLDatasets.jl,MIT,2016-09-08 09:16:50,2021-09-06 11:13:42,2021-09-06 10:47:09,27.0,12.0,18.0,139,192.0,2021-09-06 11:11:10,0.5.11,9.0,0.0,19.0,Utility package for accessing common Machine Learning datasets in Julia.,14.0,15,True,2,,,
36,Yao.jl,QuantumBFS/Yao.jl,ml-frameworks,https://github.com/QuantumBFS/Yao.jl,https://github.com/QuantumBFS/Yao.jl,,2018-04-13 13:47:02,2021-08-23 00:09:26,2021-08-22 07:46:44,76.0,25.0,117.0,587,518.0,2021-06-28 16:40:10,0.6.4,,,20.0,"Extensible, Efficient Quantum Algorithm Design for Humans.",11.0,14,False,2,,,
37,ScikitLearn.jl,cstjean/ScikitLearn.jl,ml-frameworks,https://github.com/cstjean/ScikitLearn.jl,https://github.com/cstjean/ScikitLearn.jl,,2016-02-28 17:06:55,2021-09-25 11:43:53,2021-09-25 11:43:53,63.0,25.0,51.0,461,488.0,2021-06-09 07:24:34,0.6.4,,,10.0,Julia implementation of the scikit-learn API https://cstjean.github.io/ScikitLearn.jl/dev/.,14.0,14,False,2,,,
38,Clustering.jl,JuliaStats/Clustering.jl,ml-frameworks,https://github.com/JuliaStats/Clustering.jl,https://github.com/JuliaStats/Clustering.jl,,2012-11-24 15:47:36,2021-08-22 17:14:11,2021-03-11 18:32:20,97.0,34.0,59.0,254,328.0,2020-10-18 12:18:16,0.14.2,,,19.0,A Julia package for data clustering.,46.0,14,False,2,,,
39,DecisionTree.jl,bensadeghi/DecisionTree.jl,ml-frameworks,https://github.com/bensadeghi/DecisionTree.jl,https://github.com/bensadeghi/DecisionTree.jl,,2013-01-14 01:29:53,2021-07-21 16:39:24,2020-09-17 07:02:13,77.0,29.0,41.0,243,448.0,2020-09-17 08:16:08,0.10.10,,,22.0,Julia implementation of Decision Tree (CART) and Random Forest algorithms.,22.0,14,False,2,,,
40,XGBoost.jl,dmlc/XGBoost.jl,ml-frameworks,https://github.com/dmlc/XGBoost.jl,https://github.com/dmlc/XGBoost.jl,,2014-08-14 19:10:42,2021-08-09 00:30:52,2020-12-22 16:30:49,96.0,10.0,46.0,195,182.0,2020-12-22 16:36:19,1.1.1,,,7.0,XGBoost Julia Package.,22.0,14,False,2,,,
41,KernelFunctions.jl,JuliaGaussianProcesses/KernelFunctions.jl,ml-frameworks,https://github.com/JuliaGaussianProcesses/KernelFunctions.jl,https://github.com/JuliaGaussianProcesses/KernelFunctions.jl,MIT,2019-05-24 13:53:47,2021-09-25 18:53:39,2021-09-23 20:49:48,17.0,49.0,77.0,148,648.0,2021-09-23 12:58:27,0.10.18,,,76.0,Julia package for kernel functions for machine learning.,18.0,14,True,2,,,
42,Enzyme.jl,wsmoses/Enzyme.jl,ml-frameworks,https://github.com/wsmoses/Enzyme.jl,https://github.com/wsmoses/Enzyme.jl,MIT,2019-09-06 20:06:06,2021-09-23 14:54:41,2021-09-21 05:51:42,11.0,28.0,24.0,122,174.0,2021-07-23 21:03:14,0.7.0,,,18.0,Julia bindings for the Enzyme automatic differentiator.,10.0,14,True,2,,,
43,NNlib.jl,FluxML/NNlib.jl,ml-frameworks,https://github.com/FluxML/NNlib.jl,https://github.com/FluxML/NNlib.jl,,2017-08-21 17:14:26,2021-09-07 13:21:09,2021-09-07 12:46:40,82.0,33.0,84.0,115,1004.0,2021-09-07 13:21:09,0.7.29,,,53.0,Neural Network primitives with multiple backends.,69.0,14,False,2,,,
44,ReservoirComputing.jl,SciML/ReservoirComputing.jl,ml-frameworks,https://github.com/SciML/ReservoirComputing.jl,https://github.com/SciML/ReservoirComputing.jl,MIT,2020-01-16 14:21:10,2021-08-14 00:52:33,2021-06-21 23:06:46,17.0,9.0,6.0,84,313.0,2021-06-21 23:16:01,0.7.0,,,10.0,Reservoir computing utilities for scientific machine learning (SciML).,11.0,14,False,2,,,
45,TensorBoardLogger.jl,PhilipVinc/TensorBoardLogger.jl,ml-experiments,https://github.com/JuliaLogging/TensorBoardLogger.jl,https://github.com/JuliaLogging/TensorBoardLogger.jl,MIT,2019-01-27 21:15:07,2021-07-23 21:35:18,2021-07-23 21:35:18,19.0,13.0,23.0,73,176.0,2021-07-18 20:25:16,0.1.18,,,19.0,Easy peasy logging to TensorBoard with Julia.,20.0,14,False,1,,JuliaLogging/TensorBoardLogger.jl,
46,TSML.jl,IBM/TSML.jl,ml-frameworks,https://github.com/IBM/TSML.jl,https://github.com/IBM/TSML.jl,MIT,2019-01-31 03:57:56,2021-09-16 21:22:37,2021-09-16 21:09:29,15.0,4.0,86.0,71,667.0,2021-09-16 21:22:37,2.7.2,,,42.0,"A package for time series data processing, classification, clustering, and prediction.",7.0,14,False,2,,,
47,ReadStat.jl,queryverse/ReadStat.jl,probabilistics,https://github.com/queryverse/ReadStat.jl,https://github.com/queryverse/ReadStat.jl,MIT,2013-12-01 21:59:46,2021-08-16 18:07:45,2021-08-16 17:43:25,15.0,7.0,21.0,68,174.0,2021-08-16 18:06:13,1.1.1,,,11.0,"Read files from Stata, SAS, and SPSS.",10.0,14,False,3,,,
48,FluxTraining.jl,lorenzoh/FluxTraining.jl,ml-frameworks,https://github.com/FluxML/FluxTraining.jl,https://github.com/FluxML/FluxTraining.jl,MIT,2020-03-27 12:27:00,2021-07-26 19:09:28,2021-07-26 13:39:30,7.0,3.0,14.0,46,183.0,2021-07-26 19:09:28,0.2.1,,,6.0,A flexible neural net training library inspired by fast.ai.,6.0,14,False,2,,FluxML/FluxTraining.jl,
49,MLJTuning.jl,alan-turing-institute/MLJTuning.jl,hyperopt,https://github.com/JuliaAI/MLJTuning.jl,https://github.com/JuliaAI/MLJTuning.jl,MIT,2020-01-14 18:48:56,2021-09-23 03:45:39,2021-09-22 22:36:57,5.0,9.0,33.0,45,547.0,2021-09-23 03:45:39,0.6.13,,,37.0,Hyperparameter optimization algorithms for use in the MLJ machine learning framework.,11.0,14,False,1,,JuliaAI/MLJTuning.jl,
50,Mocha.jl,pluskid/Mocha.jl,ml-frameworks,https://github.com/pluskid/Mocha.jl,https://github.com/pluskid/Mocha.jl,,2014-10-25 00:31:21,2018-12-06 01:09:35,2018-12-06 01:09:34,255.0,35.0,119.0,1266,1069.0,,,,,,Deep Learning framework for Julia.,47.0,13,False,3,,,
51,Stheno.jl,willtebbutt/Stheno.jl,ml-frameworks,https://github.com/JuliaGaussianProcesses/Stheno.jl,https://github.com/JuliaGaussianProcesses/Stheno.jl,,2017-08-15 15:10:58,2021-08-27 10:34:07,2021-08-27 10:02:08,19.0,20.0,37.0,273,462.0,2021-08-27 10:18:19,0.7.15,,,48.0,Probabilistic Programming with Gaussian processes in Julia.,11.0,13,False,3,,JuliaGaussianProcesses/Stheno.jl,
52,MultivariateStats.jl,JuliaStats/MultivariateStats.jl,probabilistics,https://github.com/JuliaStats/MultivariateStats.jl,https://github.com/JuliaStats/MultivariateStats.jl,,2014-03-12 21:59:49,2021-06-03 00:18:17,2021-06-01 03:06:06,58.0,33.0,53.0,246,157.0,2020-11-15 22:14:12,0.8.0,,,5.0,A Julia package for multivariate statistics and data analysis (e.g. dimension reduction).,26.0,13,False,3,-1.0,,
53,ArrayFire.jl,JuliaGPU/ArrayFire.jl,ml-frameworks,https://github.com/JuliaGPU/ArrayFire.jl,https://github.com/JuliaGPU/ArrayFire.jl,,2015-05-28 21:01:58,2020-11-18 16:52:26,2020-11-18 16:52:25,30.0,44.0,156.0,186,858.0,2020-09-25 07:25:28,1.0.7,,,11.0,Julia wrapper for the ArrayFire library.,33.0,13,False,3,,,
54,AutoGrad.jl,denizyuret/AutoGrad.jl,ml-frameworks,https://github.com/denizyuret/AutoGrad.jl,https://github.com/denizyuret/AutoGrad.jl,,2016-08-08 20:24:26,2021-07-22 15:49:06,2021-07-22 15:48:57,21.0,18.0,50.0,152,481.0,2020-12-26 22:17:41,1.2.4,,,20.0,Julia port of the Python autograd package.,16.0,13,False,3,,,
55,Merlin.jl,hshindo/Merlin.jl,ml-frameworks,https://github.com/hshindo/Merlin.jl,https://github.com/hshindo/Merlin.jl,MIT,2015-11-25 09:12:06,2019-11-25 10:44:17,2018-11-02 04:31:00,9.0,1.0,5.0,146,1454.0,2017-12-15 04:52:54,0.0.3,,,2.0,Deep Learning for Julia.,10.0,13,False,3,,,
56,Augmentor.jl,Evizero/Augmentor.jl,image,https://github.com/Evizero/Augmentor.jl,https://github.com/Evizero/Augmentor.jl,,2017-05-04 13:13:15,2021-09-09 11:21:14,2021-08-14 11:49:05,40.0,20.0,26.0,103,213.0,2021-08-08 02:10:29,0.6.5,,,14.0,A fast image augmentation library in Julia for machine learning.,5.0,13,False,3,,,
57,DataDeps.jl,oxinabox/DataDeps.jl,data-loading,https://github.com/oxinabox/DataDeps.jl,https://github.com/oxinabox/DataDeps.jl,,2017-10-18 01:23:10,2021-08-03 09:07:21,2021-07-10 15:15:50,33.0,25.0,50.0,97,355.0,2021-01-27 20:11:51,0.7.7,,,35.0,reproducible data setup for reproducible science.,25.0,13,False,2,,,
58,LossFunctions.jl,JuliaML/LossFunctions.jl,ml-frameworks,https://github.com/JuliaML/LossFunctions.jl,https://github.com/JuliaML/LossFunctions.jl,,2015-10-11 10:41:50,2021-07-28 14:14:27,2021-06-10 13:15:04,25.0,12.0,69.0,96,432.0,2021-06-10 14:13:08,0.7.2,,,14.0,Julia package of loss functions for machine learning.,18.0,13,False,3,,,
59,Omega.jl,zenna/Omega.jl,probabilistics,https://github.com/zenna/Omega.jl,https://github.com/zenna/Omega.jl,MIT,2018-03-09 23:01:39,2021-09-12 13:48:06,2021-02-17 01:51:16,12.0,42.0,73.0,96,648.0,2019-06-24 21:56:14,0.1.1,,,2.0,"Causal, Higher-Order, Probabilistic Programming.",12.0,13,False,3,,,
60,Mads.jl,madsjulia/Mads.jl,ml-frameworks,https://github.com/madsjulia/Mads.jl,https://github.com/madsjulia/Mads.jl,,2016-01-26 14:19:09,2021-09-23 20:08:56,2021-09-23 20:08:50,19.0,,17.0,83,2256.0,2021-09-10 17:13:13,1.2.9,,,61.0,MADS: Model Analysis & Decision Support.,20.0,13,False,3,,,
61,DiffEqParamEstim.jl,SciML/DiffEqParamEstim.jl,ml-frameworks,https://github.com/SciML/DiffEqParamEstim.jl,https://github.com/SciML/DiffEqParamEstim.jl,,2016-10-28 11:33:04,2021-09-08 17:02:00,2021-09-08 17:02:00,21.0,15.0,55.0,34,526.0,2021-06-11 11:01:05,1.21.0,,,43.0,Easy scientific machine learning (SciML) parameter estimation with pre-built loss functions.,19.0,13,False,3,,,
62,Fairness.jl,ashryaagr/Fairness.jl,interpretability,https://github.com/ashryaagr/Fairness.jl,https://github.com/ashryaagr/Fairness.jl,MIT,2020-05-21 18:10:23,2021-09-20 00:52:29,2021-07-27 12:01:12,11.0,7.0,2.0,23,146.0,2021-06-28 14:18:21,0.3.2,,,8.0,Julia Toolkit with fairness metrics and bias mitigation algorithms.,9.0,13,False,1,,,
63,DataAugmentation.jl,lorenzoh/DataAugmentation.jl,data-loading,https://github.com/lorenzoh/DataAugmentation.jl,https://github.com/lorenzoh/DataAugmentation.jl,MIT,2020-03-27 13:44:36,2021-09-17 09:00:53,2021-09-17 08:51:06,5.0,2.0,4.0,9,224.0,2021-08-10 14:02:32,0.2.5,,,15.0,Flexible data augmentation library for machine and deep learning.,6.0,13,False,2,,,
64,Mamba.jl,brian-j-smith/Mamba.jl,ml-frameworks,https://github.com/brian-j-smith/Mamba.jl,https://github.com/brian-j-smith/Mamba.jl,,2014-06-15 14:21:04,2020-08-26 12:36:20,2020-08-26 00:01:31,47.0,39.0,74.0,239,1057.0,2020-04-04 19:02:55,0.12.4,,,51.0,Markov chain Monte Carlo (MCMC) for Bayesian analysis in julia.,13.0,12,False,3,,,
65,Reinforce.jl,JuliaML/Reinforce.jl,ml-frameworks,https://github.com/JuliaML/Reinforce.jl,https://github.com/JuliaML/Reinforce.jl,,2016-07-25 13:34:25,2021-07-29 02:20:52,2021-07-29 02:20:48,35.0,9.0,14.0,189,141.0,2020-11-17 10:26:40,0.4.0,,,5.0,"Abstractions, algorithms, and utilities for reinforcement learning in Julia.",16.0,12,False,3,,,
66,KernelDensity.jl,JuliaStats/KernelDensity.jl,probabilistics,https://github.com/JuliaStats/KernelDensity.jl,https://github.com/JuliaStats/KernelDensity.jl,,2014-04-13 19:14:58,2021-05-03 05:18:10,2021-05-03 04:50:14,28.0,20.0,37.0,109,116.0,2021-05-03 05:18:10,0.6.3,,,10.0,Kernel density estimators for Julia.,21.0,12,False,3,,,
67,Yota.jl,dfdx/Yota.jl,ml-frameworks,https://github.com/dfdx/Yota.jl,https://github.com/dfdx/Yota.jl,MIT,2018-07-14 22:04:47,2021-09-25 12:34:59,2021-08-12 15:41:01,7.0,7.0,38.0,108,,2021-08-12 17:42:52,0.6.1,,,16.0,Reverse-mode automatic differentiation in Julia.,8.0,12,True,3,-2.0,,
